,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,0.42,0.51,0.38,0.4,0.79,0.39,0.89,0.45,0.5,0.49,0.35,0.51,0.45,0.44,0.95
aufs.csv,0.0,0.47,0.53,0.39,0.46,0.0,0.38,0.0,0.68,0.44,0.65,0.38,0.0,0.5,0.43
bulmages.csv,0.0,0.0,0.0,0.0,0.47,0.0,0.38,0.0,0.0,0.94,0.0,0.5,0.0,0.0,0.46
coot.csv,0.42,0.47,0.39,0.32,0.46,0.39,0.38,0.45,0.5,0.44,0.34,0.38,0.45,0.44,0.43
emono.csv,0.43,0.49,0.42,0.63,0.59,0.39,0.42,0.46,0.5,0.46,0.34,0.39,0.46,0.48,0.51
extprosys.csv,0.0,0.86,0.67,0.89,0.44,0.0,0.41,0.0,0.0,0.48,0.0,0.71,0.0,0.0,0.46
freelords.csv,0.0,0.93,0.0,0.5,0.45,0.0,0.39,0.0,0.0,0.89,0.0,0.86,0.0,0.0,0.55
jnode.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jruby.csv,0.42,0.5,0.39,0.32,0.51,0.39,0.44,0.45,0.44,0.45,0.34,0.38,0.45,0.44,0.55
jsecurity.csv,0.0,0.86,0.75,0.0,0.93,0.0,0.71,0.0,0.0,0.8,0.5,0.62,0.0,0.0,0.54
matrex.csv,0.0,0.54,0.91,0.33,0.49,0.0,0.4,0.0,0.5,0.36,0.48,0.91,0.0,0.86,0.45
officefloor.csv,0.93,0.47,0.37,0.32,0.46,0.0,0.38,0.0,0.5,0.44,0.3,0.38,0.0,0.44,0.43
projectfactory.csv,0.0,0.97,0.0,0.0,0.51,0.0,0.38,0.0,0.0,0.63,0.0,0.6,0.0,0.0,0.43
taverna.csv,0.0,0.49,0.73,0.31,0.46,0.0,0.38,0.0,0.42,0.45,0.37,0.38,0.0,0.57,0.43
vxl.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
