,vxl.csv,extprosys.csv,taverna.csv,abbot.csv,jsecurity.csv,jnode.csv,freelords.csv,officefloor.csv,aufs.csv,bulmages.csv,matrex.csv,projectfactory.csv,coot.csv,jruby.csv,emono.csv
abbot.csv,1.0,0.87,0.93,0.93,0.23,1.0,0.09,1.0,1.0,0.76,1.0,0.51,1.0,0.99,0.19
aufs.csv,0.0,1.0,0.37,0.66,1.0,0.0,0.97,0.0,0.59,0.95,0.42,0.97,0.0,0.45,1.0
bulmages.csv,0.0,0.02,0.0,0.0,0.77,0.0,0.92,0.0,0.0,0.48,0.0,0.05,0.0,0.0,0.95
coot.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
emono.csv,0.95,0.85,0.78,0.45,0.67,1.0,0.85,0.95,1.0,0.86,1.0,1.0,0.88,0.92,0.88
extprosys.csv,0.0,0.49,0.11,0.14,0.67,0.0,0.71,0.0,0.0,0.52,0.0,0.18,0.0,0.0,0.89
freelords.csv,0.0,0.06,0.0,0.43,0.9,0.0,0.95,0.0,0.0,0.05,0.0,0.28,0.0,0.0,0.75
jnode.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jruby.csv,1.0,0.94,1.0,1.0,0.87,1.0,0.87,1.0,0.76,0.9,1.0,1.0,1.0,1.0,0.39
jsecurity.csv,0.0,0.13,0.11,0.0,0.28,0.0,0.24,0.0,0.0,0.14,0.0,0.44,0.0,0.0,0.52
matrex.csv,0.0,0.58,0.11,0.82,0.87,0.0,0.71,0.0,0.05,0.71,0.86,0.18,0.0,0.06,0.68
officefloor.csv,0.11,1.0,0.96,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.92,1.0,0.0,0.99,1.0
projectfactory.csv,0.0,0.21,0.0,0.02,0.69,0.0,0.97,0.0,0.0,0.57,0.0,0.59,0.0,0.0,1.0
taverna.csv,0.0,0.96,0.78,0.84,1.0,0.0,0.99,0.0,0.59,1.0,0.84,0.95,0.0,0.56,0.98
vxl.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
