,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.48,0.36,0.26,0.32
n2cms.csv,0.71,0.29,0.24,0.27
nassp.csv,0.39,0.5,0.31,0.45
nug.csv,0.39,0.08,0.62,0.21
