,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.26,0.07,0.04,0.05,0.07,0.04,0.15,0.07,0.05,0.1
h2database.csv,0.25,0.25,0.12,0.37,0.06,0.33,0.08,0.2,0.06,0.23
hannosset.csv,0.02,0.2,0.25,0.33,0.19,0.22,0.69,0.22,0.03,0.38
jaql.csv,0.47,0.26,0.21,0.24,0.07,0.06,0.0,0.05,0.02,0.24
megameknet.csv,0.61,0.6,0.38,0.46,0.27,0.78,0.31,0.52,0.55,0.66
ngl.csv,0.96,0.74,0.31,0.69,0.38,0.83,0.77,0.36,0.85,0.5
qedo.csv,0.38,0.24,0.13,0.1,0.2,0.01,0.38,0.15,0.71,0.22
qmmp.csv,0.81,0.75,0.5,0.57,0.17,0.59,0.69,0.31,0.21,0.63
raven-monitoring.csv,0.32,0.49,0.31,0.33,0.19,0.35,0.23,0.48,0.45,0.17
v8.csv,0.25,0.3,0.79,0.76,0.49,0.41,0.15,0.64,0.42,0.76
