,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.6,0.97,0.67,0.97,0.96,0.67,0.91,0.85,0.93,0.96
h2database.csv,0.64,0.59,0.9,0.41,0.9,0.5,0.88,0.55,0.94,0.67
hannosset.csv,0.88,0.99,0.94,0.84,0.96,0.89,0.72,0.99,0.92,0.73
jaql.csv,0.39,0.54,0.61,0.47,0.75,0.75,0.82,0.97,0.67,0.6
megameknet.csv,0.44,0.43,0.5,0.49,0.5,0.4,0.43,0.52,0.56,0.56
ngl.csv,0.37,0.36,0.53,0.39,0.44,0.34,0.44,0.46,0.43,0.36
qedo.csv,0.76,0.99,0.95,0.95,0.98,0.0,0.97,0.98,0.66,0.77
qmmp.csv,0.4,0.38,0.5,0.47,0.66,0.38,0.5,0.54,0.55,0.4
raven-monitoring.csv,0.69,0.54,0.51,0.61,0.59,0.96,0.71,0.92,0.98,0.82
v8.csv,0.99,0.74,0.47,0.49,0.6,0.75,0.49,0.73,0.98,0.59
