,owfs.csv,utgb.csv,chipster.csv,sidekar.csv,jgnash.csv,jsr308-langtools.csv,continuum-ide.csv,azureus.csv,ctrlr.csv,jppf-project.csv,stemkit.csv,galaxium.csv,ingex.csv,itext.csv,octet.csv,lite.csv,bzbyte.csv,carabiner.csv,tigermud.csv,ta3d.csv
azureus.csv,0.54,1.0,0.86,1.0,0.99,0.42,0.82,0.31,0.82,0.77,0.77,0.92,0.67,0.57,1.0,1.0,0.89,1.0,1.0,0.81
bzbyte.csv,1.0,0.97,0.96,1.0,0.88,1.0,1.0,1.0,1.0,0.88,1.0,0.45,1.0,1.0,1.0,1.0,0.46,1.0,0.86,0.73
carabiner.csv,0.87,0.71,0.96,0.62,0.57,0.36,0.87,0.6,0.83,0.89,0.88,0.47,0.87,0.61,0.97,0.81,0.8,0.45,0.75,0.56
chipster.csv,1.04,0.89,0.5,0.82,0.86,0.74,0.48,0.93,0.91,0.53,0.75,0.62,1.0,0.64,0.75,1.01,0.98,0.87,0.92,0.75
continuum-ide.csv,1.0,0.94,0.88,0.75,0.76,0.73,0.3,0.86,0.66,0.76,0.52,0.89,0.86,0.72,0.87,0.54,0.73,1.0,0.73,0.94
ctrlr.csv,0.77,0.65,0.7,0.92,0.84,0.89,0.89,0.83,0.32,1.07,0.64,0.96,0.89,1.02,0.88,0.95,0.64,0.96,0.8,0.91
galaxium.csv,0.57,0.72,0.54,0.58,0.49,0.44,0.65,0.52,0.94,0.51,0.69,0.29,0.6,0.44,0.89,0.94,0.54,0.88,0.92,0.66
ingex.csv,0.73,0.86,0.71,0.58,0.68,0.65,0.77,0.61,1.01,0.74,0.59,0.54,0.51,0.49,0.84,0.94,0.83,0.72,0.89,0.73
itext.csv,0.58,0.92,0.78,0.74,0.73,0.42,0.77,0.51,0.91,1.0,0.73,0.85,0.9,0.29,1.0,1.0,0.89,0.68,0.79,0.69
jgnash.csv,0.52,0.72,0.59,0.6,0.4,0.39,0.82,0.59,0.76,0.67,0.75,0.7,0.56,0.55,0.59,0.71,0.62,0.65,0.71,0.66
jppf-project.csv,0.7,0.67,0.75,0.65,0.64,0.76,0.91,0.88,0.72,0.29,0.77,0.6,0.8,0.9,0.76,0.86,0.79,0.61,0.88,0.77
jsr308-langtools.csv,0.88,0.82,0.94,1.0,0.74,0.12,0.95,1.0,0.74,0.88,0.99,0.69,0.66,0.63,0.98,1.0,0.89,1.0,0.7,0.65
lite.csv,0.96,0.53,0.62,0.77,0.53,0.72,0.59,0.7,0.81,0.53,1.01,0.54,0.86,0.58,0.64,0.42,0.68,0.82,0.79,0.6
octet.csv,0.66,0.77,0.82,0.56,0.64,0.79,0.85,0.75,0.9,0.68,1.02,0.59,0.51,0.72,0.44,0.62,0.9,0.49,0.71,0.77
owfs.csv,0.55,0.79,0.73,0.69,0.53,0.75,0.9,0.59,0.7,0.88,0.83,0.62,0.79,0.58,0.82,0.65,0.72,0.49,0.64,0.5
sidekar.csv,1.0,1.0,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,0.84,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,1.0
stemkit.csv,0.83,0.84,0.81,0.6,0.8,0.54,0.71,0.81,0.8,0.78,0.32,0.83,0.62,0.56,1.0,0.94,0.94,0.93,0.71,0.78
ta3d.csv,0.73,0.76,0.56,0.79,0.74,0.53,0.8,0.46,0.88,0.58,0.85,0.69,0.97,0.65,0.83,0.81,0.76,0.72,0.89,0.71
tigermud.csv,1.0,0.72,0.66,0.94,0.63,0.62,0.75,0.72,0.87,0.72,0.86,0.62,0.89,0.61,0.95,0.94,0.79,0.82,0.44,0.79
utgb.csv,0.87,0.38,0.77,0.65,0.63,0.8,1.0,0.69,0.99,0.76,0.68,0.92,0.57,0.96,1.0,0.94,0.97,0.84,0.83,0.68
