,owfs.csv,utgb.csv,chipster.csv,sidekar.csv,jgnash.csv,jsr308-langtools.csv,continuum-ide.csv,azureus.csv,ctrlr.csv,jppf-project.csv,stemkit.csv,galaxium.csv,ingex.csv,itext.csv,octet.csv,lite.csv,bzbyte.csv,carabiner.csv,tigermud.csv,ta3d.csv
azureus.csv,0.63,0.0,0.45,0.0,0.05,0.66,0.52,0.76,0.23,0.57,0.57,0.3,0.63,0.51,0.0,0.0,0.37,0.0,0.0,0.53
bzbyte.csv,0.0,0.13,0.06,0.0,0.15,0.0,0.0,0.0,0.0,0.39,0.0,0.67,0.0,0.0,0.0,0.0,0.72,0.0,0.45,0.35
carabiner.csv,0.41,0.59,0.17,0.59,0.55,0.78,0.43,0.71,0.46,0.39,0.41,0.69,0.42,0.71,0.17,0.54,0.52,0.62,0.33,0.68
chipster.csv,0.0,0.17,0.63,0.4,0.27,0.32,0.78,0.09,0.12,0.56,0.37,0.47,0.0,0.55,0.33,0.0,0.02,0.17,0.13,0.35
continuum-ide.csv,0.0,0.07,0.15,0.32,0.28,0.37,0.77,0.19,0.55,0.32,0.65,0.13,0.27,0.59,0.17,0.52,0.32,0.0,0.35,0.2
ctrlr.csv,0.31,0.57,0.46,0.28,0.34,0.3,0.15,0.5,0.83,0.0,0.52,0.07,0.17,0.04,0.17,0.15,0.58,0.06,0.46,0.23
galaxium.csv,0.57,0.56,0.62,0.49,0.67,0.65,0.49,0.62,0.12,0.76,0.37,0.78,0.6,0.63,0.43,0.09,0.6,0.4,0.34,0.55
ingex.csv,0.32,0.44,0.59,0.71,0.65,0.73,0.46,0.64,0.0,0.47,0.53,0.64,0.58,0.57,0.49,0.26,0.4,0.4,0.17,0.33
itext.csv,0.56,0.34,0.57,0.5,0.6,0.66,0.58,0.68,0.31,0.0,0.57,0.47,0.37,0.79,0.0,0.0,0.38,0.47,0.53,0.67
jgnash.csv,0.58,0.56,0.57,0.65,0.67,0.69,0.52,0.48,0.36,0.54,0.58,0.63,0.64,0.52,0.57,0.65,0.7,0.41,0.41,0.55
jppf-project.csv,0.47,0.59,0.56,0.58,0.6,0.59,0.21,0.41,0.6,0.76,0.54,0.57,0.44,0.41,0.55,0.4,0.38,0.56,0.44,0.5
jsr308-langtools.csv,0.41,0.5,0.24,0.0,0.64,0.92,0.21,0.0,0.45,0.39,0.05,0.66,0.39,0.68,0.09,0.0,0.37,0.0,0.61,0.67
lite.csv,0.17,0.61,0.46,0.27,0.53,0.61,0.65,0.65,0.36,0.62,0.0,0.53,0.33,0.61,0.56,0.76,0.53,0.21,0.27,0.52
octet.csv,0.54,0.3,0.51,0.63,0.47,0.54,0.46,0.34,0.22,0.46,0.0,0.59,0.61,0.62,0.61,0.64,0.14,0.65,0.35,0.3
owfs.csv,0.57,0.51,0.57,0.52,0.56,0.42,0.35,0.67,0.45,0.39,0.45,0.61,0.48,0.73,0.52,0.68,0.46,0.75,0.42,0.6
sidekar.csv,0.0,0.0,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0
stemkit.csv,0.21,0.36,0.28,0.48,0.28,0.52,0.34,0.31,0.28,0.3,0.81,0.24,0.45,0.51,0.0,0.09,0.17,0.11,0.5,0.33
ta3d.csv,0.31,0.35,0.54,0.36,0.48,0.61,0.28,0.7,0.22,0.52,0.2,0.36,0.04,0.42,0.42,0.24,0.29,0.36,0.2,0.54
tigermud.csv,0.0,0.56,0.46,0.07,0.48,0.47,0.6,0.38,0.17,0.33,0.2,0.58,0.27,0.64,0.23,0.35,0.55,0.51,0.63,0.27
utgb.csv,0.21,0.77,0.38,0.43,0.48,0.24,0.0,0.4,0.06,0.29,0.38,0.11,0.66,0.07,0.0,0.09,0.05,0.21,0.29,0.44
