,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.0,0.0,0.0,0.0,2.0,59.0,0.0,0.0,0.0,0.0,7.0,2.0,4.0,59.0,1.0,2.0,6.0
codepurge.csv,4.0,56.0,17.0,0.0,1.0,59.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,103.0,0.0,3.0,1.0
crisscross.csv,2.0,3.0,0.0,1.0,0.0,59.0,0.0,0.0,0.0,3.0,14.0,3.0,6.0,64.0,0.0,1.0,1.0
elvishrayrenderer.csv,0.0,4.0,7.0,3.0,0.0,4.0,0.0,0.0,0.0,3.0,18.0,2.0,4.0,87.0,0.0,16.0,0.0
gisgraphy.csv,0.0,4.0,15.0,0.0,1.0,4.0,0.0,0.0,1.0,6.0,17.0,3.0,3.0,103.0,0.0,48.0,0.0
ivataopenportal.csv,0.0,4.0,12.0,0.0,0.0,59.0,0.0,0.0,0.0,4.0,7.0,5.0,10.0,103.0,2.0,7.0,0.0
lite.csv,1.0,56.0,1.0,3.0,1.0,59.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,103.0,0.0,32.0,1.0
mb-unit.csv,0.0,3.0,15.0,0.0,0.0,59.0,0.0,0.0,0.0,7.0,20.0,2.0,10.0,83.0,0.0,39.0,0.0
nova.csv,0.0,0.0,16.0,0.0,0.0,8.0,0.0,0.0,1.0,4.0,13.0,2.0,11.0,103.0,0.0,23.0,0.0
olex2.csv,7.0,1.0,9.0,0.0,2.0,59.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,103.0,0.0,15.0,2.0
openwbem.csv,0.0,14.0,14.0,0.0,0.0,59.0,1.0,0.0,0.0,6.0,20.0,3.0,10.0,103.0,0.0,72.0,1.0
stajistics.csv,3.0,15.0,15.0,0.0,1.0,59.0,0.0,0.0,1.0,3.0,13.0,6.0,0.0,103.0,0.0,38.0,6.0
uwom.csv,0.0,5.0,1.0,0.0,0.0,59.0,1.0,0.0,1.0,2.0,14.0,3.0,10.0,103.0,0.0,0.0,1.0
xcmetadataservicestoolkit.csv,10.0,1.0,37.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,8.0,4.0,13.0,78.0,0.0,20.0,7.0
