,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.73,0.15,0.33,0.48,0.48,0.0,0.99,0.62,0.72,0.2,0.21,0.5,0.53,1.0,0.59,0.66,0.18
codepurge.csv,0.25,0.0,0.29,0.13,0.19,0.0,0.15,0.35,0.5,0.47,0.88,0.28,0.1,0.0,0.41,0.42,0.27
crisscross.csv,0.31,0.62,0.95,0.32,0.23,0.0,0.24,0.39,0.45,0.2,0.33,0.37,0.27,1.0,0.32,0.38,0.23
elvishrayrenderer.csv,0.82,0.38,0.71,0.57,0.72,1.0,0.5,0.41,0.55,0.8,0.54,0.58,0.43,1.0,1.0,0.62,0.5
gisgraphy.csv,0.12,0.38,0.05,0.2,0.04,1.0,0.08,0.1,0.32,0.67,0.33,0.37,0.23,0.0,0.38,0.44,1.0
ivataopenportal.csv,0.51,0.54,0.1,0.48,1.0,0.0,0.48,0.23,0.6,0.4,0.38,0.32,0.67,0.0,0.26,0.28,0.45
lite.csv,0.17,0.0,0.1,0.07,0.06,0.0,0.03,0.09,0.15,0.93,0.04,0.13,0.03,0.0,0.06,0.28,0.05
mb-unit.csv,0.88,0.31,1.0,1.0,0.73,0.0,0.96,0.92,0.78,0.53,0.88,0.83,0.87,1.0,0.88,0.79,0.68
nova.csv,0.62,1.0,0.71,0.56,0.15,1.0,0.46,0.58,0.7,0.87,0.67,0.62,0.5,0.0,0.59,0.77,0.5
olex2.csv,0.5,0.15,0.57,0.37,0.27,0.0,0.34,0.37,0.4,0.4,0.29,0.97,0.4,0.0,0.53,0.52,0.64
openwbem.csv,0.93,0.38,0.62,0.57,0.41,0.0,0.44,0.36,0.57,0.93,0.46,0.47,0.5,0.0,0.53,0.5,0.82
stajistics.csv,0.17,0.92,0.57,0.35,0.22,0.0,0.44,0.8,0.52,0.67,0.88,0.27,1.0,0.0,0.53,0.5,0.5
uwom.csv,0.38,0.31,0.05,0.27,0.32,0.0,0.13,0.59,0.55,0.6,0.12,0.17,0.6,0.0,0.29,0.96,0.27
xcmetadataservicestoolkit.csv,0.33,0.08,0.9,0.48,0.69,1.0,0.44,0.26,1.0,0.2,0.17,0.15,0.2,1.0,0.26,0.27,0.27
