,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.67,0.18,0.37,0.5,0.49,0.0,0.99,0.67,0.58,0.24,0.25,0.54,0.55,0.73,0.54,0.65,0.21
codepurge.csv,0.29,0.0,0.33,0.16,0.22,0.0,0.18,0.4,0.53,0.51,0.9,0.32,0.12,0.0,0.45,0.46,0.31
crisscross.csv,0.35,0.61,0.96,0.37,0.27,0.0,0.28,0.44,0.46,0.23,0.37,0.41,0.31,0.68,0.36,0.43,0.27
elvishrayrenderer.csv,0.65,0.42,0.65,0.57,0.56,0.84,0.51,0.46,0.53,0.75,0.56,0.55,0.47,0.21,1.0,0.57,0.48
gisgraphy.csv,0.15,0.41,0.06,0.23,0.05,0.94,0.1,0.12,0.35,0.59,0.37,0.4,0.27,0.0,0.42,0.48,1.0
ivataopenportal.csv,0.51,0.55,0.12,0.5,1.0,0.0,0.51,0.27,0.65,0.39,0.41,0.35,0.63,0.0,0.29,0.31,0.47
lite.csv,0.2,0.0,0.12,0.09,0.07,0.0,0.04,0.11,0.18,0.94,0.05,0.16,0.04,0.0,0.07,0.32,0.06
mb-unit.csv,0.56,0.35,0.09,0.99,0.56,0.0,0.13,0.93,0.69,0.47,0.55,0.62,0.74,0.52,0.48,0.51,0.45
nova.csv,0.58,1.0,0.53,0.56,0.18,0.85,0.48,0.0,0.25,0.66,0.59,0.59,0.52,0.0,0.54,0.66,0.5
olex2.csv,0.53,0.18,0.59,0.41,0.31,0.0,0.38,0.42,0.42,0.44,0.33,0.98,0.45,0.0,0.55,0.55,0.62
openwbem.csv,0.94,0.34,0.6,0.53,0.44,0.0,0.36,0.41,0.56,0.62,0.49,0.49,0.48,0.0,0.57,0.46,0.56
stajistics.csv,0.2,0.32,0.5,0.39,0.26,0.0,0.46,0.83,0.52,0.68,0.65,0.3,1.0,0.0,0.54,0.45,0.51
uwom.csv,0.42,0.36,0.06,0.31,0.36,0.0,0.16,0.0,0.49,0.6,0.15,0.2,0.56,0.0,0.33,0.97,0.32
xcmetadataservicestoolkit.csv,0.37,0.1,0.32,0.51,0.6,0.85,0.48,0.0,1.0,0.23,0.2,0.18,0.23,0.45,0.3,0.29,0.3
