,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,ivataopenportal.csv,elynx.csv,cascading.csv,aten.csv,xcmetadataservicestoolkit.csv,lite.csv,codepurge.csv,olex2.csv,stajistics.csv,jfreechart.csv,elvishrayrenderer.csv,uwom.csv,gisgraphy.csv
cascading.csv,0.49,0.02,0.29,0.39,0.44,0.59,0.03,0.0,0.67,0.0,0.11,0.23,0.32,0.65,0.61,0.39,0.38
codepurge.csv,0.11,0.14,0.2,0.02,0.15,0.22,0.12,0.0,0.33,0.27,0.0,0.18,0.04,0.28,0.28,0.3,0.1
crisscross.csv,0.23,0.43,0.01,0.11,0.13,0.32,0.3,0.0,0.47,0.41,0.21,0.24,0.16,0.7,0.33,0.13,0.31
elvishrayrenderer.csv,0.64,0.23,0.5,0.44,0.7,0.49,0.42,0.0,0.53,0.39,0.34,0.55,0.28,0.95,0.0,0.56,0.58
gisgraphy.csv,0.05,0.45,0.16,0.36,0.08,0.25,0.09,0.0,0.47,0.59,0.33,0.42,0.19,0.09,0.28,0.22,0.0
ivataopenportal.csv,0.5,0.41,0.13,0.43,0.0,0.24,0.33,0.0,0.0,0.63,0.39,0.37,0.49,0.66,0.44,0.46,0.4
lite.csv,0.08,0.0,0.05,0.06,0.04,0.14,0.0,0.0,0.0,0.0,0.01,0.06,0.04,0.05,0.0,0.17,0.02
mb-unit.csv,0.77,0.16,0.98,0.05,0.71,0.76,0.97,0.0,0.53,0.68,0.78,0.69,0.54,0.82,0.83,0.79,0.81
nova.csv,0.55,0.0,0.74,0.43,0.31,0.47,0.45,1.0,0.93,0.66,0.61,0.51,0.35,0.45,0.61,0.57,0.48
olex2.csv,0.34,0.05,0.32,0.31,0.15,0.37,0.27,0.0,0.47,0.22,0.16,0.0,0.16,0.13,0.33,0.28,0.44
openwbem.csv,0.0,0.77,0.46,0.59,0.37,0.59,0.79,0.0,0.47,0.73,0.32,0.42,0.58,0.45,0.22,0.65,0.75
stajistics.csv,0.16,0.91,0.67,0.33,0.15,0.41,0.45,0.0,0.47,0.27,0.68,0.45,0.0,0.16,0.44,0.69,0.46
uwom.csv,0.27,0.14,0.03,0.2,0.31,0.1,0.06,1.0,0.67,0.39,0.12,0.2,0.55,0.3,0.17,0.0,0.04
xcmetadataservicestoolkit.csv,0.22,0.07,0.91,0.31,0.6,0.46,0.27,1.0,0.0,0.24,0.08,0.27,0.41,0.86,0.17,0.6,0.5
