,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,emeraldemu.csv,maya-work-in-progress.csv,unimrcp.csv,grafx2.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,xmoto.csv
emeraldemu.csv,0.63,0.38,0.6,1.0,0.09,0.21,0.34,0.04,0.0,0.0,0.21,0.0,0.25
grafx2.csv,0.36,0.37,0.39,0.31,0.18,0.28,0.15,0.49,0.18,0.31,0.18,0.26,0.39
jahshakafx.csv,0.27,0.31,0.41,0.25,0.18,0.39,0.11,0.19,0.13,0.12,0.24,0.42,0.25
kftpgrabber.csv,0.2,0.13,0.02,0.07,0.09,0.27,0.02,0.05,0.0,0.0,0.27,0.03,0.09
kindb.csv,0.4,0.51,0.89,0.39,0.27,0.63,0.17,0.22,0.32,0.19,0.79,0.05,0.41
maya-work-in-progress.csv,0.8,0.8,0.7,0.46,1.0,0.68,0.17,0.53,0.34,0.31,0.74,0.76,0.52
netatalk.csv,0.36,0.71,0.79,0.96,0.36,0.6,0.57,0.27,0.26,0.5,0.58,0.24,0.45
nullc.csv,0.7,0.99,0.96,0.98,0.09,0.41,0.04,0.15,0.16,0.12,0.82,0.29,0.32
plee-the-bear.csv,0.27,0.16,0.22,0.05,0.45,0.61,0.06,0.45,0.5,0.62,0.23,0.45,0.41
reaper-ecad.csv,0.19,0.25,0.24,0.19,0.0,0.09,0.02,0.0,0.05,0.0,0.19,0.03,0.05
unimrcp.csv,0.56,0.44,0.38,0.55,0.09,0.3,0.36,0.3,0.05,0.19,0.39,0.11,0.23
unladen-swallow.csv,0.08,0.19,0.17,0.05,0.09,0.31,0.09,0.34,0.13,0.19,0.23,0.34,0.05
xmoto.csv,0.48,0.46,0.46,0.02,0.27,0.4,0.3,0.68,0.42,0.88,0.32,1.0,0.25
