,ifmo-game-1.csv,voms.csv,fm-classic.csv,foursquared.csv,micomt.csv,xpontus.csv,jmule.csv
fm-classic.csv,0.18,0.25,0.46,0.28,0.25,0.0,0.15
foursquared.csv,0.27,0.15,0.0,0.78,0.0,0.0,0.34
ifmo-game-1.csv,0.43,0.0,0.12,0.29,0.0,0.0,0.32
jmule.csv,0.17,0.29,0.14,0.57,0.44,0.03,0.86
micomt.csv,0.16,0.17,0.07,0.53,0.63,0.02,0.55
voms.csv,0.2,0.59,0.09,0.64,0.5,0.02,0.08
