,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.65,0.69,0.67,0.38,0.4,0.39,0.53,0.59,0.43,0.25,0.41,0.74,0.46,0.88,0.38,0.99,0.75,0.21
cornerstone.csv,0.65,0.54,0.67,0.08,0.14,0.45,0.67,0.41,0.35,0.19,0.9,0.56,0.58,0.65,0.39,0.68,0.75,0.23
emeraldemu.csv,0.47,0.56,0.7,0.83,0.22,0.26,0.53,0.98,0.33,0.78,0.69,0.22,0.55,0.4,0.46,0.49,0.5,0.71
grafx2.csv,0.83,0.7,0.76,0.58,0.44,0.51,0.53,0.65,0.56,0.47,0.69,0.56,0.67,1.0,0.54,0.66,0.5,0.45
jahshakafx.csv,0.95,0.42,0.24,0.29,0.28,0.05,0.27,0.31,0.18,0.16,0.18,0.11,0.25,0.02,0.16,0.39,0.5,0.38
maya-work-in-progress.csv,0.93,0.83,0.85,0.88,0.64,0.66,0.93,0.78,0.75,0.94,0.98,0.81,0.81,0.84,0.84,0.89,1.0,0.98
novembre.csv,0.46,0.38,0.55,0.17,0.24,0.15,0.87,0.31,0.28,0.22,0.33,0.19,0.16,0.26,0.24,0.34,0.75,0.27
ns-3.csv,0.63,0.78,0.85,0.54,0.32,0.99,0.87,0.79,0.64,0.44,0.61,0.85,0.77,0.63,0.75,0.83,1.0,0.45
nullc.csv,0.96,0.99,1.0,1.0,1.0,0.91,0.93,0.92,0.91,0.84,0.59,0.89,0.98,0.88,0.84,0.99,1.0,0.48
open-beos.csv,0.85,0.75,0.88,0.54,0.5,0.39,0.47,0.66,0.93,0.38,0.86,0.59,0.67,0.98,0.61,0.74,0.75,0.93
pixel-commandos.csv,0.12,0.12,0.15,0.04,0.04,0.02,0.07,0.05,0.01,0.0,0.04,0.0,0.06,0.0,0.14,0.11,1.0,0.02
planeshift.csv,0.79,0.84,0.82,0.88,0.5,0.7,0.93,0.86,0.74,0.81,0.41,0.81,0.99,0.77,0.79,0.94,1.0,0.46
plee-the-bear.csv,0.08,0.23,0.91,0.0,0.26,0.3,0.07,0.06,0.21,0.34,0.24,0.3,0.44,0.16,0.12,0.15,0.0,0.41
reaper-ecad.csv,0.74,0.18,0.67,1.0,0.3,0.25,0.13,0.22,0.15,0.34,0.67,0.11,0.46,0.19,0.43,0.52,0.0,0.64
sbml.csv,0.83,0.84,0.76,0.92,0.38,0.63,0.67,0.84,0.62,0.56,0.33,0.89,0.78,0.49,0.96,0.78,0.75,0.32
unimrcp.csv,0.45,0.25,0.27,0.29,0.28,0.11,0.2,0.24,0.17,0.09,0.29,0.96,0.22,0.28,0.04,0.32,0.25,0.11
unladen-swallow.csv,0.3,0.65,0.3,0.17,0.46,0.55,0.4,0.31,0.4,0.56,0.2,0.41,0.52,0.4,0.53,0.24,0.0,0.64
zxing.csv,0.81,0.62,0.85,0.96,0.5,0.55,0.53,0.74,0.4,0.81,0.53,0.22,0.5,0.14,0.71,0.8,0.75,0.98
