,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.68,0.69,0.69,0.43,0.45,0.43,0.53,0.61,0.48,0.29,0.46,0.66,0.5,0.74,0.41,0.99,0.75,0.25
cornerstone.csv,0.65,0.57,0.68,0.1,0.17,0.48,0.65,0.45,0.39,0.23,0.91,0.56,0.59,0.64,0.44,0.67,0.7,0.27
emeraldemu.csv,0.51,0.58,0.7,0.7,0.26,0.3,0.56,0.98,0.37,0.75,0.49,0.26,0.56,0.45,0.51,0.54,0.54,0.55
grafx2.csv,0.79,0.67,0.73,0.57,0.47,0.54,0.53,0.68,0.58,0.52,0.63,0.56,0.63,1.0,0.55,0.63,0.5,0.47
jahshakafx.csv,0.96,0.46,0.28,0.34,0.32,0.06,0.31,0.36,0.21,0.19,0.21,0.13,0.29,0.02,0.19,0.43,0.55,0.41
maya-work-in-progress.csv,0.81,0.72,0.65,0.79,0.64,0.62,0.72,0.64,0.68,0.95,0.17,0.66,0.64,0.65,0.76,0.59,0.65,0.0
novembre.csv,0.5,0.43,0.59,0.2,0.28,0.18,0.89,0.35,0.32,0.26,0.37,0.23,0.19,0.29,0.28,0.39,0.77,0.31
ns-3.csv,0.61,0.57,0.66,0.5,0.37,0.99,0.34,0.68,0.62,0.47,0.59,0.68,0.65,0.66,0.63,0.6,0.85,0.47
nullc.csv,0.13,0.05,0.0,0.05,1.0,0.37,0.3,0.45,0.39,0.09,0.59,0.53,0.17,0.74,0.6,0.05,0.3,0.52
open-beos.csv,0.57,0.68,0.79,0.56,0.46,0.43,0.48,0.66,0.94,0.41,0.56,0.5,0.59,0.21,0.58,0.69,0.66,0.51
pixel-commandos.csv,0.15,0.15,0.18,0.05,0.05,0.02,0.09,0.06,0.01,0.0,0.05,0.0,0.07,0.0,0.17,0.13,1.0,0.02
planeshift.csv,0.72,0.74,0.54,0.66,0.53,0.63,0.57,0.63,0.62,0.49,0.46,0.68,0.98,0.78,0.55,0.46,0.57,0.46
plee-the-bear.csv,0.1,0.26,0.93,0.0,0.29,0.33,0.09,0.07,0.24,0.33,0.28,0.31,0.45,0.19,0.14,0.18,0.0,0.43
reaper-ecad.csv,0.67,0.21,0.65,1.0,0.35,0.29,0.16,0.26,0.18,0.37,0.52,0.13,0.48,0.21,0.48,0.53,0.0,0.52
sbml.csv,0.78,0.74,0.67,0.79,0.42,0.58,0.59,0.71,0.63,0.59,0.37,0.51,0.69,0.53,0.97,0.69,0.69,0.36
unimrcp.csv,0.5,0.29,0.31,0.34,0.32,0.13,0.24,0.28,0.2,0.11,0.33,0.97,0.26,0.33,0.05,0.36,0.29,0.13
unladen-swallow.csv,0.33,0.7,0.32,0.2,0.4,0.52,0.43,0.34,0.4,0.34,0.24,0.37,0.49,0.42,0.41,0.26,0.0,0.34
zxing.csv,0.76,0.61,0.58,0.73,0.52,0.55,0.56,0.64,0.45,0.6,0.52,0.26,0.54,0.17,0.69,0.66,0.67,0.98
