,reactos-mirror.csv,critterding.csv,fceugc.csv,ogre.csv,autat.csv,mimosa.csv,alpine.csv,qse.csv,openfrag.csv,uclmda.csv,qdvdauthor.csv,jstock.csv,synergyspace.csv,keyczar.csv,elateportal.csv,sandiaportals.csv,nativeclient.csv,factor.csv,miranda.csv
alpine.csv,99.0,195.0,72.5,198.0,231.5,99.0,293.0,97.5,1377.0,98.5,97.5,690.0,375.0,98.5,87.5,0.0,99.0,97.5,198.0
autat.csv,99.0,93.5,63.5,84.5,878.5,1628.5,1006.0,97.5,207.5,198.0,97.5,95.0,375.0,98.5,91.5,93.5,198.0,97.5,485.5
critterding.csv,99.0,91.5,286.5,197.5,1677.0,99.0,579.5,289.5,1002.0,197.5,97.5,1414.0,292.5,96.5,289.0,92.5,99.0,97.5,198.0
elateportal.csv,99.0,195.0,286.5,99.0,1497.0,1495.0,289.5,97.5,1630.5,197.5,97.5,1053.0,382.0,98.5,89.5,98.5,99.0,488.0,879.5
factor.csv,99.0,93.5,63.5,198.0,203.5,270.0,916.5,97.5,67.5,98.5,92.5,90.5,375.0,87.5,89.5,98.5,198.0,82.5,584.5
fceugc.csv,297.0,188.0,93.5,159.0,1410.5,99.0,487.0,97.5,350.0,198.0,97.5,998.0,1080.5,96.5,91.5,93.5,99.0,97.5,198.0
jstock.csv,196.5,91.5,308.5,97.5,1331.0,286.0,290.0,68.5,420.5,2.5,97.5,526.0,418.5,93.5,0.0,70.5,89.5,82.5,288.5
keyczar.csv,676.5,195.0,282.5,98.5,41.0,0.0,289.5,202.0,943.5,76.5,178.0,279.0,136.0,98.5,184.0,97.5,97.5,356.5,582.0
mimosa.csv,99.0,195.0,1036.5,198.0,1578.0,99.0,487.0,97.5,1872.0,198.0,97.5,983.5,292.5,98.5,383.5,98.5,99.0,97.5,198.0
miranda.csv,0.0,0.0,89.5,198.0,126.0,42.5,487.0,0.0,72.5,76.5,97.5,119.0,292.5,96.5,89.5,98.5,35.5,97.5,198.0
nativeclient.csv,197.5,176.0,89.5,98.5,694.0,99.0,390.5,97.5,914.0,2.5,97.5,395.5,484.0,88.5,91.5,98.5,99.0,97.5,99.0
ogre.csv,99.0,97.5,286.5,99.0,1296.5,99.0,487.0,286.5,1874.0,99.0,97.5,1151.5,292.5,98.5,383.5,98.5,99.0,97.5,99.0
openfrag.csv,99.0,93.5,93.5,192.5,1506.0,99.0,192.5,97.5,77.5,198.0,97.5,861.0,1477.5,43.5,91.5,98.5,99.0,97.5,99.0
qdvdauthor.csv,99.0,93.5,65.5,196.5,1291.0,99.0,188.0,97.5,991.0,198.0,281.5,703.0,194.0,92.5,42.0,98.5,99.0,97.5,673.0
qse.csv,99.0,285.5,93.5,99.0,872.0,99.0,194.5,97.5,1027.0,99.0,97.5,1023.0,275.5,93.5,22.5,92.5,99.0,97.5,99.0
reactos-mirror.csv,99.0,97.5,93.5,198.0,406.5,98.5,1377.5,97.5,431.5,98.5,97.5,595.5,292.5,92.5,186.0,98.5,99.0,97.5,198.0
sandiaportals.csv,99.0,93.5,55.5,87.5,1227.0,99.0,1110.0,97.5,156.0,198.0,97.5,314.0,772.5,0.0,21.5,98.5,198.0,97.5,99.0
synergyspace.csv,99.0,91.5,198.5,97.5,1486.5,99.0,862.0,97.5,1529.0,94.5,96.5,662.0,445.5,92.5,91.5,69.5,99.0,97.5,99.0
uclmda.csv,99.0,93.5,192.0,74.5,469.5,442.0,123.0,285.0,994.0,99.0,106.0,31.0,186.0,98.5,109.0,90.5,87.5,220.5,96.5
