,precision
jchassis.csv,0.0
doomlegacy.csv,0.96
bzbyte.csv,0.82
fmri-dmt.csv,0.2
v8.csv,0.98
servicestack.csv,0.0
carabiner.csv,0.5
gephex.csv,0.75
mediaportal.csv,0.4
gnome-jabber.csv,1.0
fityk.csv,0.85
mecat.csv,0.1
ngl.csv,0.65
codepurge.csv,0.33
jcl.csv,0.19
bigdata.csv,0.9
salasaga.csv,0.24
ondex.csv,0.24
jas.csv,0.05
qdvdauthor.csv,0.87
gmerlin.csv,0.33
wsmt.csv,0.67
xqilla.csv,0.03
jstock.csv,0.67
poormans.csv,0.71
kolmafia.csv,0.86
synergyspace.csv,0.45
nebuladevice.csv,0.44
findbugs.csv,0.55
qmmp.csv,0.8
wxstudio.csv,0.53
free-evolution.csv,0.33
xapian.csv,0.85
quark.csv,0.3
les-indemodables.csv,0.83
mesa3d.csv,0.22
simplewebservices.csv,0.45
illumination.csv,0.33
wxjs.csv,0.06
ambulant.csv,0.78
kmess.csv,0.83
fleet-simulator.csv,0.0
tradelink.csv,0.56
opendvr.csv,0.5
pi-qmc.csv,0.75
google-gears.csv,0.94
bibletime.csv,0.96
ipfilter.csv,1.0
glelite.csv,1.0
hibernate.csv,0.56
keyczar.csv,0.0
oscarmcmaster.csv,0.42
passwordsafe.csv,0.62
primefaces.csv,0.0
xtreemfs.csv,0.84
pixel-commandos.csv,0.22
open-ms.csv,0.36
pnotepad.csv,0.95
qedo.csv,0.02
tigermud.csv,0.5
mevenide.csv,0.26
xcf.csv,0.67
ninject.csv,0.09
xinity.csv,0.68
xmoto.csv,0.83
coot.csv,0.71
emite.csv,1.0
gss.csv,0.73
icescrum.csv,0.57
