,pf
jchassis.csv,0.33
doomlegacy.csv,0.04
bzbyte.csv,0.22
fmri-dmt.csv,0.13
v8.csv,0.15
servicestack.csv,0.0
carabiner.csv,0.1
gephex.csv,0.05
mediaportal.csv,0.15
gnome-jabber.csv,0.0
fityk.csv,0.09
mecat.csv,0.47
ngl.csv,0.28
codepurge.csv,0.03
jcl.csv,0.37
bigdata.csv,0.24
salasaga.csv,0.41
ondex.csv,0.31
jas.csv,0.53
qdvdauthor.csv,0.11
gmerlin.csv,0.21
wsmt.csv,0.03
xqilla.csv,0.57
jstock.csv,0.07
poormans.csv,0.04
kolmafia.csv,0.08
synergyspace.csv,0.06
nebuladevice.csv,0.07
findbugs.csv,0.2
qmmp.csv,0.02
wxstudio.csv,0.14
free-evolution.csv,0.09
xapian.csv,0.02
quark.csv,0.44
les-indemodables.csv,0.03
mesa3d.csv,0.57
simplewebservices.csv,0.69
illumination.csv,0.12
wxjs.csv,0.18
ambulant.csv,0.06
kmess.csv,0.15
fleet-simulator.csv,0.0
tradelink.csv,0.09
opendvr.csv,0.09
pi-qmc.csv,0.02
google-gears.csv,0.05
bibletime.csv,0.07
ipfilter.csv,0.0
glelite.csv,0.0
hibernate.csv,0.05
keyczar.csv,0.0
oscarmcmaster.csv,0.11
passwordsafe.csv,0.17
primefaces.csv,0.04
xtreemfs.csv,0.1
pixel-commandos.csv,0.08
open-ms.csv,0.18
pnotepad.csv,0.1
qedo.csv,0.17
tigermud.csv,0.24
mevenide.csv,0.4
xcf.csv,0.1
ninject.csv,0.38
xinity.csv,0.23
xmoto.csv,0.09
coot.csv,0.19
emite.csv,0.0
gss.csv,0.15
icescrum.csv,0.19
