,pci_20
jchassis.csv,0.64
doomlegacy.csv,0.64
bzbyte.csv,0.55
fmri-dmt.csv,0.9
v8.csv,0.42
servicestack.csv,0.0
carabiner.csv,0.9
gephex.csv,0.88
mediaportal.csv,0.74
gnome-jabber.csv,0.83
fityk.csv,0.69
mecat.csv,0.42
ngl.csv,0.53
codepurge.csv,0.83
jcl.csv,0.38
bigdata.csv,0.53
salasaga.csv,0.41
ondex.csv,0.61
jas.csv,0.68
qdvdauthor.csv,0.6
gmerlin.csv,0.71
wsmt.csv,0.67
xqilla.csv,0.36
jstock.csv,0.89
poormans.csv,0.94
kolmafia.csv,0.62
synergyspace.csv,0.91
nebuladevice.csv,0.89
findbugs.csv,0.6
qmmp.csv,0.8
wxstudio.csv,0.6
free-evolution.csv,0.93
xapian.csv,0.92
quark.csv,0.39
les-indemodables.csv,0.92
mesa3d.csv,0.44
simplewebservices.csv,0.46
illumination.csv,0.92
wxjs.csv,0.76
ambulant.csv,0.61
kmess.csv,0.49
fleet-simulator.csv,0.0
tradelink.csv,0.88
opendvr.csv,0.8
pi-qmc.csv,0.75
google-gears.csv,0.63
bibletime.csv,0.5
ipfilter.csv,0.77
glelite.csv,0.63
hibernate.csv,0.98
keyczar.csv,0.0
oscarmcmaster.csv,0.94
passwordsafe.csv,0.58
primefaces.csv,0.0
xtreemfs.csv,0.97
pixel-commandos.csv,0.89
open-ms.csv,0.74
pnotepad.csv,0.53
qedo.csv,0.93
tigermud.csv,0.6
mevenide.csv,0.6
xcf.csv,0.89
ninject.csv,0.7
xinity.csv,0.58
xmoto.csv,0.52
coot.csv,0.46
emite.csv,0.0
gss.csv,0.73
icescrum.csv,0.57
