,baadengine.csv,avifile.csv,werx.csv,plog4u.csv,pokeglobal.csv,jgameai.csv,zealos.csv,gogoego.csv,jhotdraw.csv,patterntesting.csv,httpcontentparser.csv,jaxlib.csv,bibedt.csv,unflobtactical.csv,snakeyaml.csv,impala.csv,cascading.csv,gnome-jabber.csv,chaosrts.csv,exl.csv
avifile.csv,0.14,0.15,0.0,0.22,0.1,0.27,0.5,0.22,0.21,0.3,0.76,0.85,0.29,0.23,0.39,0.11,0.24,0.6,0.16,0.92
baadengine.csv,0.17,0.92,0.5,0.81,0.31,0.41,1.0,0.86,0.95,0.55,0.78,0.96,0.95,0.88,0.36,0.97,0.58,1.0,0.68,0.69
bibedt.csv,0.47,0.32,0.75,0.68,0.31,0.73,0.5,0.38,0.67,0.02,0.9,0.44,0.12,0.35,0.42,0.45,0.36,1.0,0.21,0.46
cascading.csv,0.34,0.68,1.0,0.36,0.38,0.44,0.31,0.6,0.58,0.19,0.39,0.67,0.41,0.46,0.34,0.58,0.42,0.0,0.74,0.46
chaosrts.csv,0.24,0.14,0.75,0.33,0.1,0.38,1.0,0.28,0.32,0.49,0.82,0.56,0.66,0.54,0.26,0.51,0.55,1.0,0.11,0.54
exl.csv,0.32,0.65,1.0,0.77,0.59,0.86,0.38,0.81,0.74,0.68,0.31,0.19,0.59,0.46,0.82,0.65,0.85,0.0,0.84,0.31
gnome-jabber.csv,0.25,0.6,0.5,0.54,0.62,0.21,0.41,0.61,0.51,0.96,0.55,0.73,0.93,0.65,0.33,0.48,0.79,0.4,1.0,0.38
gogoego.csv,0.12,0.38,0.75,0.33,0.28,0.79,0.32,0.32,0.49,0.51,0.24,0.21,0.41,0.27,0.41,0.7,0.88,0.4,0.79,0.08
httpcontentparser.csv,0.39,0.54,0.5,0.35,0.52,0.11,0.0,0.47,0.83,0.02,0.23,0.69,0.39,0.31,0.79,0.45,0.61,0.0,0.42,0.15
impala.csv,0.38,0.69,0.0,0.64,0.86,0.83,0.54,0.68,0.64,0.51,0.8,0.52,0.78,0.85,0.24,0.27,0.48,0.8,0.68,0.92
jaxlib.csv,0.16,0.34,0.25,0.57,0.66,0.41,0.18,0.51,0.12,0.7,0.42,0.06,0.22,0.23,0.11,0.34,0.33,0.0,0.58,0.46
jgameai.csv,0.0,0.05,0.0,0.02,0.07,0.3,0.65,0.02,0.08,0.0,0.12,0.31,0.39,0.08,0.0,0.02,0.0,0.6,0.05,0.0
jhotdraw.csv,0.81,0.66,0.75,0.68,0.97,0.81,0.0,0.93,0.14,0.74,0.47,0.54,0.29,0.46,0.47,0.41,0.67,0.8,0.53,0.77
patterntesting.csv,0.96,0.97,1.0,0.98,0.79,0.97,0.84,0.96,0.86,0.17,0.97,0.96,0.73,0.85,0.99,0.81,0.94,0.4,0.89,0.92
pokeglobal.csv,0.84,0.91,1.0,0.24,0.28,0.48,1.0,0.43,0.96,0.74,0.75,0.71,1.0,0.73,0.87,0.75,0.39,0.2,0.84,0.92
snakeyaml.csv,0.47,0.45,0.5,0.43,0.24,0.38,0.29,0.33,0.58,0.09,0.3,0.42,0.24,0.12,0.18,0.25,0.21,0.4,0.16,0.08
unflobtactical.csv,0.71,0.69,1.0,0.55,0.34,0.87,0.07,0.64,0.63,0.7,0.52,0.69,0.37,0.27,0.17,0.53,0.36,0.2,0.47,0.69
werx.csv,0.99,0.85,0.0,1.0,0.97,1.0,1.0,0.95,1.0,1.0,0.99,1.0,1.0,1.0,0.99,0.96,0.97,1.0,1.0,0.69
zealos.csv,0.06,0.06,0.25,0.28,0.0,0.14,0.37,0.14,0.1,0.15,0.02,0.21,0.12,0.0,0.0,0.04,0.18,0.0,0.21,0.0
