,dynalloy.csv,electric-core.csv,nosleepsoftware.csv,cities3d.csv,mptvseries.csv,mvnforum.csv,botsnscouts.csv,sumatrapdf.csv,ogre.csv,autat.csv,openfrag.csv,jparsec.csv,img-browse-sort.csv,qdvdauthor.csv,findbugs.csv,moast.csv,zxing.csv
autat.csv,0.42,0.17,0.0,0.22,0.05,0.17,0.19,0.03,0.06,0.94,0.17,0.07,0.23,0.02,0.46,0.01,0.04
botsnscouts.csv,0.21,0.47,0.25,0.62,0.26,0.17,1.0,0.58,0.31,0.38,0.29,0.36,0.69,0.38,0.39,0.08,0.36
cities3d.csv,0.9,0.21,0.0,0.89,0.68,0.89,0.59,0.52,0.39,0.62,0.11,0.84,0.62,0.82,0.54,0.76,0.62
dynalloy.csv,0.98,0.49,0.19,0.76,0.63,0.83,0.52,0.74,0.26,0.31,0.55,1.0,0.62,0.75,0.79,0.47,0.68
electric-core.csv,0.73,0.92,0.75,0.57,0.84,0.72,0.7,0.68,0.87,0.88,0.53,0.73,0.15,0.75,0.79,0.09,0.96
findbugs.csv,0.65,0.32,0.31,0.49,0.16,0.28,0.19,0.19,0.2,0.5,0.18,0.31,0.23,0.4,0.96,0.07,0.12
img-browse-sort.csv,0.48,0.47,0.0,0.3,0.32,0.39,0.33,0.16,0.11,0.25,0.32,0.36,0.85,0.18,0.39,0.14,0.2
jparsec.csv,0.79,0.95,1.0,1.0,0.95,0.67,0.7,0.65,0.85,0.81,0.83,0.98,0.54,0.88,0.68,0.83,0.54
moast.csv,0.77,1.0,1.0,1.0,0.95,0.89,0.93,0.94,0.91,0.81,0.95,0.91,0.92,0.85,0.71,0.99,0.89
mptvseries.csv,0.52,0.38,0.5,0.51,0.95,0.44,0.33,0.39,0.14,0.38,0.24,0.89,0.08,0.3,0.43,0.13,0.2
mvnforum.csv,0.23,0.09,0.0,0.03,0.05,1.0,0.07,0.26,0.05,0.0,0.05,0.29,0.08,0.0,0.18,0.01,0.09
nosleepsoftware.csv,0.06,0.3,0.88,0.3,0.11,0.17,0.19,0.26,0.37,0.5,0.08,0.09,0.08,0.28,0.32,0.09,0.16
ogre.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,1.0
openfrag.csv,0.48,0.85,0.19,0.7,0.58,0.61,0.59,0.71,0.46,0.75,1.0,0.73,0.77,0.6,0.64,0.93,0.61
qdvdauthor.csv,0.54,0.5,0.81,0.59,0.68,0.78,0.37,0.84,0.65,0.25,0.73,0.67,0.54,0.98,0.54,0.86,0.61
sumatrapdf.csv,0.62,0.68,0.19,0.73,0.79,0.61,0.63,0.9,0.53,0.69,0.67,0.78,0.69,0.48,0.75,0.25,0.54
zxing.csv,0.42,0.61,0.94,0.78,0.58,0.78,0.52,0.42,0.39,0.31,0.73,0.38,0.85,0.8,0.57,0.42,1.0
