,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.0,0.44,0.0,0.4,0.71,0.76,0.55
kftpgrabber.csv,0.28,0.2,0.09,0.87,0.29,0.59,0.36
kindb.csv,0.52,0.28,0.79,0.63,0.14,0.29,0.43
m-a-d-n-e-s-s.csv,0.22,0.68,0.76,0.1,0.5,0.18,0.15
netatalk.csv,0.76,0.76,0.94,0.67,0.71,0.71,0.83
quickfast.csv,0.86,1.0,0.47,0.93,0.79,0.94,0.68
wow-qrsk.csv,0.85,0.36,0.0,0.37,0.93,0.47,0.06
