,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,customsagetv.csv,xfce.csv,carabiner.csv,mesa3d.csv,trinitycore.csv,tencompetence.csv,oorexx.csv,elvishrayrenderer.csv
carabiner.csv,0.51,0.44,0.87,0.32,0.33,0.43,0.58,0.43,0.33,0.56,0.27,0.65,0.22,0.79,0.95,0.35,0.35,0.33,0.66,0.66
checker-framework.csv,0.37,0.41,0.46,0.25,0.12,0.22,0.55,1.0,0.21,0.25,0.61,0.7,0.18,0.73,0.48,0.3,0.17,0.36,0.41,0.51
customsagetv.csv,0.22,0.1,0.32,0.3,0.1,0.04,0.36,0.35,0.13,0.02,0.15,0.46,0.99,0.34,0.08,0.27,0.11,0.08,0.1,0.23
elvishrayrenderer.csv,0.47,0.41,0.88,0.32,0.37,0.31,0.64,0.41,0.38,0.48,0.57,0.64,0.48,0.79,0.36,0.39,0.38,0.4,0.56,0.97
guineu.csv,0.98,0.37,0.62,0.36,0.46,0.04,0.5,0.29,0.25,0.38,0.27,0.41,0.28,0.62,0.13,0.34,0.24,0.15,0.3,0.63
inkscape.csv,0.07,0.32,0.0,0.0,0.32,0.96,0.16,0.13,0.26,0.26,0.35,0.0,0.07,0.03,0.0,0.0,0.26,0.01,0.6,0.43
mesa3d.csv,0.41,0.26,0.4,0.42,0.31,0.2,0.44,0.24,0.3,0.19,0.35,0.3,0.06,0.44,0.24,0.89,0.31,0.22,0.31,0.21
nsis.csv,0.44,0.54,0.88,0.29,0.3,0.68,0.58,0.17,0.36,1.0,0.82,0.55,0.61,0.71,0.4,0.32,0.36,0.68,0.71,0.74
octave.csv,0.4,0.45,0.38,0.38,0.9,0.55,0.62,0.13,0.2,0.17,0.35,0.39,0.67,0.33,0.44,0.12,0.21,0.62,0.45,0.47
oorexx.csv,0.31,0.36,0.05,0.29,0.22,0.73,0.51,0.29,0.45,0.58,0.55,0.56,0.4,0.22,0.33,0.12,0.44,0.53,1.0,0.61
owfs.csv,0.55,0.25,0.17,0.95,0.29,0.12,0.45,0.4,0.24,0.19,0.19,0.49,0.46,0.29,0.23,0.33,0.21,0.35,0.19,0.37
owlib.csv,0.52,0.97,0.7,0.33,0.29,0.59,0.52,0.37,0.41,0.63,0.47,0.61,0.58,0.76,0.43,0.31,0.42,0.32,0.47,0.63
prelude.csv,0.46,0.55,0.99,0.34,0.32,0.73,0.59,0.36,0.36,0.83,0.86,0.65,0.72,0.75,0.46,0.42,0.36,0.78,0.73,0.72
robocode.csv,0.51,0.43,0.78,0.31,0.24,0.16,1.0,0.37,0.28,0.3,0.43,0.6,0.45,0.63,0.15,0.36,0.29,0.3,0.19,0.46
tencompetence.csv,0.06,0.44,0.13,0.0,0.12,0.55,0.08,0.25,0.27,0.26,0.61,0.37,0.23,0.35,0.3,0.27,0.27,0.99,0.38,0.3
trinitycore.csv,0.33,0.16,0.29,0.23,0.05,0.23,0.56,0.25,0.9,0.13,0.26,0.27,0.72,0.1,0.26,0.23,0.97,0.64,0.21,0.29
uwom-server.csv,0.37,0.2,0.5,0.4,0.34,0.2,0.45,0.23,0.97,0.2,0.19,0.54,0.61,0.07,0.39,0.29,0.92,0.66,0.33,0.4
xfce.csv,0.4,0.5,0.74,0.33,0.32,0.57,0.53,0.44,0.38,0.72,0.67,0.58,0.61,0.99,0.48,0.31,0.41,0.52,0.58,0.72
zengine.csv,0.46,0.56,0.88,0.26,0.32,0.74,0.65,0.42,0.42,0.76,1.0,0.7,0.68,0.82,0.45,0.38,0.4,0.59,0.67,0.76
zildo.csv,0.54,0.42,0.73,0.39,0.25,0.43,0.49,0.39,0.33,0.31,0.23,0.96,0.19,0.78,0.44,0.4,0.31,0.37,0.22,0.67
