,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.75,0.82,0.76,1.03,0.71,0.42,0.74,0.98,0.89,0.79,0.77,0.89,0.97,0.83,0.97,0.65,0.94,0.88,1.05,0.44
cme.csv,1.0,0.97,1.0,1.0,1.0,1.0,1.02,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.93,0.97,0.98,0.02
free-evolution.csv,0.32,1.0,0.68,0.56,0.67,0.78,0.7,0.76,0.82,0.71,0.51,0.65,0.74,0.82,1.0,0.92,0.8,0.62,0.39,0.83
gtad.csv,0.18,0.56,0.86,0.86,0.57,0.59,0.96,0.91,0.83,0.65,0.62,0.77,0.6,0.92,0.81,0.5,0.69,0.77,0.77,1.02
gusanos.csv,0.25,0.92,0.64,0.33,0.44,0.5,0.88,0.83,0.51,0.79,0.43,0.55,0.53,0.71,0.32,0.6,0.68,0.66,0.82,0.5
kaffeine.csv,0.96,0.9,0.87,0.2,0.52,0.6,0.73,1.0,0.48,0.77,0.5,0.68,0.62,0.73,0.56,0.77,0.78,0.68,0.52,0.71
lcfizvtop.csv,0.48,0.77,0.86,0.34,0.52,0.54,0.82,0.94,0.65,0.74,0.42,0.68,0.76,0.36,0.93,0.58,0.69,0.54,0.51,0.42
m-a-d-n-e-s-s.csv,0.5,0.88,0.99,0.88,0.57,0.65,0.76,0.86,0.68,0.76,0.57,0.73,0.33,1.0,0.88,0.55,0.64,0.92,0.88,0.86
m-m-m.csv,0.45,0.7,0.63,0.72,0.78,0.94,0.45,0.82,0.9,0.85,0.96,0.77,0.59,0.71,0.51,0.91,0.66,0.67,0.48,1.19
mediaportal.csv,1.01,0.74,1.0,0.94,0.74,0.95,0.83,0.97,0.49,0.78,0.55,0.81,0.72,0.92,0.71,0.76,0.49,0.88,0.73,1.04
mvnforum.csv,1.15,0.74,0.78,1.04,0.94,0.85,0.81,0.69,0.84,0.43,0.98,0.82,0.87,0.92,0.91,0.96,0.9,0.81,1.02,1.01
myfaces.csv,0.66,0.8,0.97,0.8,0.66,0.8,0.8,1.09,0.5,0.85,0.41,0.6,0.41,0.71,0.77,0.45,0.62,0.75,0.61,0.52
nh3d.csv,1.0,0.63,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84,0.98,1.0,1.0,0.99,1.0,1.0,1.0,1.0
ogrehg.csv,0.64,0.7,1.0,0.82,0.82,0.95,0.85,0.88,0.8,0.7,0.79,0.44,0.57,0.8,0.48,0.86,0.6,0.66,0.7,0.85
pnotepad.csv,0.68,0.62,0.99,0.45,0.58,0.87,0.52,0.96,0.71,0.72,0.66,0.69,0.49,0.55,0.94,0.9,0.81,0.6,0.19,0.94
pydev.csv,0.58,0.59,0.76,0.61,0.6,0.72,0.75,0.61,0.55,0.71,0.56,0.61,0.4,0.59,0.72,0.41,0.54,0.66,0.61,0.63
sarasvati.csv,0.66,0.73,0.71,0.86,0.41,0.82,0.81,1.05,0.69,0.7,0.47,0.79,0.65,0.66,0.79,0.73,0.56,0.69,0.74,0.68
taokgame.csv,0.53,0.92,1.0,0.92,0.94,0.75,0.94,0.11,0.6,0.88,0.84,0.81,0.88,0.82,0.87,0.84,0.85,0.82,0.85,0.66
tokratan.csv,0.7,0.81,0.99,0.78,0.76,0.77,0.6,1.22,0.41,0.69,0.63,0.59,0.47,0.68,0.63,0.48,0.6,0.74,0.5,0.67
wgs-assembler.csv,0.55,0.56,0.93,0.84,0.64,0.78,0.71,0.74,0.76,0.65,0.84,0.56,0.47,0.79,0.59,0.86,0.61,0.76,0.62,1.14
