,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.53,0.42,0.55,0.66,0.53,0.56,0.49,0.49,0.48,0.46,0.52,0.35,0.38,0.52,0.44
grafx2.csv,0.54,0.6,0.48,0.76,0.46,0.61,0.48,0.92,0.52,0.6,0.62,0.35,0.57,0.81,0.42
keyczar.csv,0.6,0.63,0.6,0.73,0.52,0.58,0.69,0.7,0.74,0.59,0.88,0.63,0.72,0.43,0.35
lmms.csv,0.48,0.49,0.49,0.61,0.41,0.65,0.46,0.48,0.45,0.61,0.47,0.41,0.4,0.44,0.41
lufa-lib.csv,0.75,0.68,0.94,0.86,0.66,0.8,0.74,0.63,0.71,0.75,0.67,0.94,0.73,0.67,0.52
netatalk.csv,0.64,0.67,0.56,0.57,0.47,0.99,0.67,0.88,0.46,0.7,0.69,0.37,0.58,0.5,0.77
openmeetings.csv,0.98,0.95,0.95,0.56,0.39,0.89,0.97,0.65,0.74,0.54,0.75,0.93,0.8,0.0,0.8
openxava.csv,0.64,0.66,0.39,0.6,0.55,0.51,0.48,0.93,0.51,0.71,0.5,0.39,0.57,0.82,0.61
pgui.csv,0.87,0.7,0.89,0.68,0.65,0.99,0.77,0.74,0.78,0.66,0.77,0.92,0.71,0.83,0.92
qpe.csv,0.97,0.97,0.43,0.92,0.95,0.52,0.99,0.89,0.95,0.96,0.67,0.8,0.95,0.67,0.5
quickfast.csv,0.43,0.38,0.35,0.47,0.3,0.45,0.34,0.49,0.38,0.45,0.35,0.32,0.42,0.49,0.38
rsyslog.csv,0.45,0.43,0.38,0.58,0.42,0.51,0.4,0.51,0.42,0.54,0.37,0.39,0.36,0.56,0.43
sylpheed-claws.csv,0.59,0.59,0.52,0.83,0.47,0.51,0.5,0.7,0.58,0.6,0.48,0.51,0.58,0.56,0.44
xqilla.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0
yale.csv,0.72,0.54,0.44,0.84,0.64,0.99,0.91,0.83,0.66,0.63,0.51,0.5,0.45,0.44,0.71
