,gtad.csv,kaffeine.csv,taokgame.csv,htmlunit.csv,jsr308-langtools.csv,continuum-ide.csv,anaxagora.csv,stemkit.csv,carabiner.csv
anaxagora.csv,0.3,0.09,0.43,0.13,0.3,0.44,0.0,0.24,0.29
carabiner.csv,0.45,0.91,0.57,0.5,0.65,0.64,0.63,0.58,0.02
continuum-ide.csv,0.0,0.36,0.06,0.09,0.1,0.0,0.04,0.08,0.0
gtad.csv,0.0,0.0,0.05,0.02,0.05,0.18,0.06,0.01,0.02
htmlunit.csv,0.42,0.27,0.2,0.0,0.05,0.28,0.19,0.14,0.75
jsr308-langtools.csv,0.3,0.27,0.24,0.09,0.05,0.46,0.34,0.39,0.14
kaffeine.csv,0.93,0.09,0.9,0.62,1.0,0.95,0.91,0.88,0.43
stemkit.csv,0.13,0.0,0.01,0.01,0.0,0.0,0.02,0.0,0.02
taokgame.csv,0.3,0.0,0.0,0.07,0.3,0.28,0.24,0.11,0.2
