,gtad.csv,kaffeine.csv,taokgame.csv,htmlunit.csv,jsr308-langtools.csv,continuum-ide.csv,anaxagora.csv,stemkit.csv,carabiner.csv
anaxagora.csv,0.0,0.96,0.17,0.33,0.67,0.19,1.0,0.06,0.29
carabiner.csv,0.03,0.76,0.1,0.41,0.67,0.29,0.14,0.09,0.96
continuum-ide.csv,0.0,0.43,0.17,0.56,0.67,1.0,0.43,0.14,1.0
gtad.csv,1.0,1.0,0.0,0.67,0.8,0.12,0.33,0.0,0.67
htmlunit.csv,0.03,0.79,0.11,1.0,0.93,0.42,0.12,0.09,0.21
jsr308-langtools.csv,0.05,0.91,0.09,0.68,0.97,0.31,0.23,0.07,0.53
kaffeine.csv,0.01,0.98,0.12,0.38,0.6,0.3,0.17,0.09,0.42
stemkit.csv,0.0,0.0,0.0,0.5,0.0,0.0,0.33,1.0,0.0
taokgame.csv,0.05,1.0,1.0,0.33,0.4,0.21,0.19,0.0,0.23
