,octave.csv,zildo.csv,customsagetv.csv,alleg.csv,ctrlr.csv,xfce.csv,glas.csv,xcf.csv,tango-cs.csv
alleg.csv,0.77,0.43,0.56,0.97,0.71,0.67,0.68,0.75,0.71
ctrlr.csv,0.0,0.07,0.06,0.02,1.0,0.25,0.24,0.09,0.07
customsagetv.csv,0.09,0.23,0.98,0.3,0.0,0.26,0.0,0.12,0.24
glas.csv,0.59,0.45,0.9,0.65,0.62,0.44,0.97,0.47,0.71
octave.csv,0.95,0.5,0.48,0.32,0.14,0.26,0.05,0.66,0.73
tango-cs.csv,0.05,0.48,0.12,0.16,0.14,0.15,0.19,0.34,0.93
xcf.csv,0.5,0.75,0.52,0.85,0.38,0.57,0.43,0.97,0.44
xfce.csv,0.55,0.84,0.56,0.61,0.57,0.97,0.38,0.88,0.44
zildo.csv,0.36,0.98,0.21,0.57,0.19,0.41,0.05,0.38,0.51
