,octave.csv,zildo.csv,customsagetv.csv,alleg.csv,ctrlr.csv,xfce.csv,glas.csv,xcf.csv,tango-cs.csv
alleg.csv,0.64,0.57,0.86,0.15,0.66,0.53,0.49,0.43,0.57
ctrlr.csv,0.03,0.05,0.23,0.07,0.02,0.21,0.16,0.07,0.04
customsagetv.csv,0.07,0.05,0.0,0.45,0.0,0.3,0.0,0.13,0.17
glas.csv,0.6,0.45,0.48,0.62,0.68,0.65,0.0,0.47,0.64
octave.csv,0.0,0.7,0.36,0.35,0.36,0.16,0.07,0.47,0.68
tango-cs.csv,0.11,0.39,0.23,0.2,0.12,0.03,0.13,0.2,0.01
xcf.csv,0.34,0.52,0.43,0.71,0.54,0.26,0.33,0.0,0.38
xfce.csv,0.37,0.82,0.7,0.67,0.49,0.03,0.35,0.8,0.68
zildo.csv,0.24,0.05,0.16,0.4,0.46,0.42,0.04,0.1,0.42
