,igarden.csv,megasquirtavr.csv,piccolo2d.csv,wxlua.csv,tolven.csv,owlapi.csv,ingex.csv,twostep.csv,servicestack.csv
igarden.csv,0.43,0.62,0.57,0.88,0.53,0.71,0.78,0.81,0.88
ingex.csv,0.61,0.77,0.82,0.7,0.71,0.65,0.47,0.74,0.56
megasquirtavr.csv,0.87,0.51,0.77,0.64,0.77,0.75,0.84,0.93,0.94
owlapi.csv,0.75,0.75,0.87,0.99,0.45,0.28,0.67,0.63,0.8
piccolo2d.csv,0.78,0.76,0.3,0.91,0.44,0.66,0.63,0.39,0.63
servicestack.csv,1.0,1.0,1.0,0.99,0.91,0.73,1.0,0.85,0.31
tolven.csv,0.71,0.75,0.52,0.92,0.31,0.61,0.59,0.58,0.94
twostep.csv,0.6,0.6,0.9,0.62,0.64,0.69,0.68,0.15,0.48
wxlua.csv,0.71,0.88,0.81,0.51,0.92,0.98,0.85,0.86,0.89
