,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.7,0.12,0.73,0.45,0.86,0.45,0.55,0.56,0.73,0.57,0.56
gamestone.csv,0.13,0.88,0.12,0.45,0.43,0.0,0.0,0.48,0.17,0.08,0.0
gbif-providertoolkit.csv,0.64,0.0,0.29,0.52,0.57,0.14,0.87,0.6,0.88,0.63,0.84
heekscad.csv,0.75,0.75,0.66,0.61,0.71,0.59,0.79,0.6,0.72,0.46,0.79
igarden.csv,0.51,0.12,0.29,0.65,0.29,0.31,0.16,0.24,0.59,0.12,0.37
levent.csv,0.38,0.12,0.0,0.0,0.79,0.71,0.55,0.04,0.0,0.0,0.77
lportal.csv,0.26,0.0,0.23,0.0,0.07,0.1,0.0,0.48,0.72,0.02,0.19
natpad.csv,0.66,0.38,0.86,0.52,0.64,0.67,0.68,0.88,0.79,0.51,0.81
openmsx.csv,0.83,0.88,0.3,0.84,0.57,0.69,0.32,0.4,0.0,0.57,0.72
owlapi.csv,0.51,0.0,0.32,0.1,0.79,0.61,0.84,0.8,0.15,0.65,0.42
xcsoar.csv,0.65,0.25,0.7,0.65,0.57,0.43,0.37,0.48,0.82,0.4,0.7
