,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.49,0.49,0.38,0.41
n2cms.csv,0.73,0.43,0.31,0.42
nassp.csv,0.32,0.32,0.32,0.59
nug.csv,0.59,0.26,0.7,0.27
