,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.44,0.64,0.59,0.58
n2cms.csv,0.79,0.71,0.47,0.92
nassp.csv,0.27,0.36,0.35,0.83
nug.csv,1.0,0.36,0.76,0.58
