,fontforge.csv,jfreereport.csv,freelords.csv,super-tux.csv
fontforge.csv,0.75,0.65,0.54,0.53
freelords.csv,0.66,0.46,0.59,0.63
jfreereport.csv,0.1,0.47,0.32,0.47
super-tux.csv,0.35,0.5,0.38,0.92
