,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.72,0.62,0.97,0.95,0.59,0.55,0.68,0.97,0.9,0.94,0.56
linux-ntfs.csv,0.81,0.61,0.63,0.82,0.69,0.5,0.51,0.65,0.74,0.72,0.56
olap-navigator.csv,0.53,0.51,0.71,0.47,0.48,0.41,0.44,0.73,0.48,0.68,0.43
phonon-vlc-mplayer.csv,0.64,0.51,0.91,0.71,0.51,0.45,0.52,0.98,0.61,0.85,0.45
qgis.csv,0.73,0.55,0.62,0.77,0.48,0.46,0.5,0.56,0.68,0.55,0.44
qse.csv,0.43,0.57,0.62,0.66,0.51,0.46,0.44,0.59,0.59,0.63,0.42
rebecca-aiml.csv,0.5,0.61,0.58,0.37,0.55,0.54,0.71,0.63,0.65,0.53,0.44
roller.csv,0.44,0.47,0.59,0.6,0.73,0.42,0.4,0.65,0.72,0.51,0.37
xapian.csv,0.71,0.5,0.74,0.73,0.79,0.67,0.53,0.92,0.7,0.84,0.5
zoolib.csv,0.94,0.96,0.96,0.8,0.0,0.92,0.93,0.96,0.0,0.88,0.67
