,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.57,0.46,0.46,0.9,0.66,0.44,0.0,0.65,0.19,0.12,0.46
linux-ntfs.csv,0.36,0.51,0.55,0.5,0.54,0.45,0.0,0.32,0.54,0.38,0.96
olap-navigator.csv,0.98,0.67,0.74,0.9,0.86,0.76,1.0,0.71,0.57,0.38,0.69
phonon-vlc-mplayer.csv,0.38,0.7,0.96,0.65,0.94,0.71,1.0,0.19,0.74,0.5,0.58
qgis.csv,0.48,0.99,0.62,0.45,0.54,0.63,1.0,0.55,0.43,0.58,0.58
qse.csv,0.54,0.44,0.61,0.7,1.0,0.76,1.0,0.45,0.48,0.42,0.58
rebecca-aiml.csv,0.43,0.45,0.17,0.55,0.51,0.43,1.0,0.29,1.0,0.54,0.62
roller.csv,0.54,0.62,0.62,0.85,0.29,0.96,1.0,0.58,0.2,0.5,0.77
xapian.csv,0.59,0.63,0.58,0.45,0.46,0.39,1.0,0.48,0.48,0.96,0.54
zoolib.csv,0.21,0.15,0.29,0.1,0.0,0.11,0.0,0.77,0.0,0.12,0.08
