,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.0,0.0,0.0,0.0,1.0,0.0,117.0,6.0,15.0,10.0,1.0
linux-ntfs.csv,0.0,0.0,29.0,0.0,3.0,0.0,117.0,11.0,3.0,10.0,0.0
olap-navigator.csv,0.0,0.0,8.0,1.0,7.0,0.0,53.0,10.0,42.0,2.0,0.0
phonon-vlc-mplayer.csv,1.0,0.0,0.0,2.0,7.0,0.0,49.0,10.0,1.0,0.0,1.0
qgis.csv,0.0,0.0,11.0,2.0,1.0,0.0,48.0,4.0,18.0,1.0,5.0
qse.csv,0.0,0.0,1.0,0.0,0.0,0.0,33.0,7.0,6.0,1.0,4.0
rebecca-aiml.csv,1.0,0.0,7.0,10.0,6.0,5.0,23.0,14.0,0.0,0.0,0.0
roller.csv,0.0,0.0,4.0,0.0,0.0,0.0,44.0,5.0,13.0,7.0,0.0
xapian.csv,0.0,1.0,4.0,2.0,5.0,0.0,31.0,4.0,3.0,0.0,2.0
zoolib.csv,0.0,0.0,2.0,1.0,81.0,0.0,117.0,0.0,185.0,3.0,1.0
