,recall,precision,pf,wins
critterding.csv,0.65,0.45,0.55,8
dynalloy.csv,0.81,0.45,0.81,6
electric-core.csv,0.54,0.42,0.56,4
etics.csv,0.5,0.53,0.35,14
firebird.csv,0.77,0.44,0.55,11
flylegacy.csv,0.76,0.45,0.5,12
gamestone.csv,0.35,0.63,0.09,16
jmri.csv,0.88,0.38,0.85,2
kaffeine.csv,1.0,0.36,0.96,1
kmatplot.csv,0.25,0.49,0.14,13
nosleepsoftware.csv,0.28,0.55,0.17,15
nug.csv,0.62,0.48,0.52,10
nullc.csv,0.9,0.34,0.86,0
ontomorphtab.csv,0.54,0.42,0.38,9
reaper-ecad.csv,0.74,0.41,0.73,3
sabbu.csv,0.52,0.38,0.37,7
xuggle.csv,0.71,0.45,0.74,5
