,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,amygdala.csv,acdk.csv,roller.csv,xinity.csv,gss.csv
acdk.csv,0.9,0.95,0.43,0.86,1.0,0.68,0.49,0.23,0.01,0.67,0.3,0.54,0.56,0.84,0.59,0.9
amygdala.csv,0.77,1.0,0.21,0.59,0.83,0.81,0.52,0.16,0.0,0.23,0.15,0.69,0.3,0.71,0.62,0.53
awemud.csv,0.83,0.84,0.27,0.16,0.9,0.92,0.46,0.23,0.01,0.0,0.16,0.64,0.5,0.7,0.7,0.59
bullet.csv,0.73,0.68,0.18,0.45,0.86,0.91,0.41,0.19,0.01,0.0,0.14,0.57,0.27,0.34,0.63,0.63
customwars.csv,0.81,0.74,0.12,0.87,0.91,0.8,0.48,0.16,0.01,0.0,0.23,0.67,0.54,0.72,0.61,0.68
dvd-create.csv,0.78,0.67,0.2,0.16,0.95,0.88,0.35,0.21,0.0,0.0,0.16,0.69,0.25,0.61,0.64,0.61
gbif-indexingtoolkit.csv,0.76,0.61,0.2,0.25,0.79,0.73,0.25,0.3,0.0,0.0,0.15,0.49,0.29,0.58,0.62,0.57
go.csv,0.77,0.84,0.27,0.14,0.94,0.83,0.48,0.17,0.0,0.0,0.15,0.6,0.44,0.67,0.61,0.73
gss.csv,0.76,0.63,0.26,0.58,0.89,0.79,0.5,0.19,0.0,0.0,0.15,0.54,0.34,0.61,0.61,0.82
kwave.csv,0.78,0.64,0.37,0.25,0.8,0.81,0.39,0.18,0.0,0.0,0.15,0.48,0.32,0.62,0.64,0.83
lsb.csv,0.81,0.61,0.16,0.5,0.81,0.82,0.51,0.26,0.0,0.25,0.15,0.51,0.66,0.61,0.53,0.61
mpgravity.csv,0.75,0.76,0.18,0.25,0.81,0.75,0.34,0.19,0.0,0.53,0.15,0.55,0.0,0.66,0.64,0.59
qcad2.csv,0.74,0.79,0.31,0.36,0.87,0.81,0.56,0.17,0.01,0.24,0.14,0.5,0.51,0.64,0.63,0.7
qtwin.csv,0.75,0.0,0.0,0.0,0.0,0.5,0.57,0.18,0.03,0.25,0.16,0.75,0.37,0.76,0.65,0.83
roller.csv,0.78,0.68,0.31,0.24,0.79,0.73,0.35,0.2,0.0,0.28,0.18,0.54,0.29,0.83,0.62,0.54
xinity.csv,0.59,0.61,0.38,0.16,0.78,0.72,0.24,0.22,0.0,0.2,0.16,0.5,0.28,0.6,0.73,0.59
