,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.5,0.25,0.69,0.56,0.79,0.74,0.72,0.71,0.45,0.6,1.08,0.53,1.28,0.68,0.7,0.03
echongl.csv,0.76,1.03,0.76,0.94,0.68,0.7,0.59,0.69,0.95,0.0,0.4,0.73,1.03,0.68,0.66,0.8
findbugs.csv,0.5,1.05,0.48,0.76,0.74,0.71,0.95,0.73,1.0,1.0,1.02,0.9,0.96,0.74,0.07,0.57
google-web-toolkit.csv,0.87,0.67,0.49,0.58,0.84,0.75,0.86,0.58,0.93,0.89,1.08,0.7,0.98,0.02,0.93,0.84
gwanted.csv,0.52,0.86,0.82,0.87,0.62,0.62,0.63,0.07,0.97,0.72,1.02,0.79,1.05,0.66,0.6,0.82
ivatamasks.csv,0.52,0.64,0.57,0.02,0.83,0.74,0.71,0.61,0.51,0.81,0.69,0.66,0.51,0.63,0.81,0.73
onotoa.csv,0.57,0.55,0.84,0.94,0.85,0.06,0.77,0.76,0.78,0.8,0.75,0.9,0.76,0.84,0.7,0.7
orc.csv,1.09,0.96,0.06,0.92,0.76,0.68,0.72,0.68,0.57,0.83,1.05,0.76,1.16,0.7,0.62,0.59
plato.csv,1.01,1.01,0.92,1.0,0.0,1.02,0.87,0.96,1.0,1.0,0.79,0.84,0.83,0.91,0.91,0.88
proftp.csv,0.37,0.52,0.62,0.54,0.76,0.7,0.78,0.6,0.07,0.69,1.15,0.54,0.67,0.71,0.65,0.75
rodin-b-sharp.csv,1.0,0.55,0.64,0.85,0.87,0.79,0.03,0.84,0.97,0.63,1.02,0.91,1.0,0.88,0.83,0.79
uclmda.csv,0.43,0.73,0.73,0.91,0.95,0.79,0.8,0.88,0.76,0.86,1.02,0.73,0.0,0.75,0.78,0.63
umber.csv,0.02,0.49,0.87,0.64,0.85,0.7,0.64,0.78,0.79,1.0,1.01,0.75,0.7,0.7,0.8,0.86
unicase.csv,0.47,0.12,0.68,0.89,0.36,0.75,0.63,0.64,0.95,0.58,0.56,0.02,1.27,0.68,0.76,0.6
wpdev.csv,1.0,0.0,1.0,0.96,0.88,1.0,0.98,0.98,0.97,1.0,1.0,1.0,1.0,0.97,1.0,0.94
