,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.4,0.38,0.35,0.51,0.41,0.43,0.39,0.52,0.31,0.47,0.47,0.45,0.97,0.47,0.37,0.45
echongl.csv,0.54,0.48,0.49,0.74,0.53,0.5,0.6,0.61,0.51,0.36,0.75,0.52,0.95,0.57,0.47,0.52
findbugs.csv,0.79,0.48,0.81,0.7,0.74,0.66,0.68,0.85,0.4,0.29,0.96,0.99,0.9,0.81,0.65,0.56
google-web-toolkit.csv,0.94,0.85,0.65,0.48,0.88,0.76,0.65,0.81,0.91,0.91,0.56,0.62,0.86,0.51,0.64,0.88
gwanted.csv,0.62,0.83,0.94,0.96,0.71,0.67,0.69,0.96,0.67,0.84,0.95,0.64,0.94,0.79,0.8,0.93
ivatamasks.csv,0.39,0.4,0.45,0.43,0.38,0.33,0.43,0.42,0.42,0.36,0.39,0.39,0.26,0.39,0.35,0.49
onotoa.csv,0.48,0.43,0.35,0.46,0.62,0.39,0.47,0.5,0.59,0.31,0.47,0.46,0.67,0.44,0.45,0.72
orc.csv,0.61,0.83,0.93,0.89,0.49,0.6,0.61,0.79,0.52,0.9,0.56,0.72,0.92,0.58,0.53,0.59
plato.csv,0.39,0.42,0.32,0.43,0.45,0.34,0.43,0.41,0.4,0.3,0.43,0.44,0.27,0.42,0.37,0.37
proftp.csv,0.5,0.42,0.44,0.43,0.36,0.64,0.54,0.51,0.46,0.55,0.37,0.39,0.46,0.47,0.46,0.68
rodin-b-sharp.csv,0.0,0.76,0.96,0.96,0.86,0.94,0.68,0.96,0.67,0.43,0.96,0.99,0.0,0.98,0.89,0.96
uclmda.csv,0.59,0.89,0.59,0.94,0.53,0.43,0.78,0.96,0.47,0.92,0.95,0.65,0.26,0.62,0.5,0.51
umber.csv,0.6,0.71,0.36,0.45,0.59,0.64,0.5,0.71,0.51,0.3,0.94,0.7,0.55,0.47,0.45,0.47
unicase.csv,0.4,0.41,0.4,0.51,0.48,0.45,0.65,0.47,0.6,0.46,0.45,0.44,0.8,0.43,0.33,0.59
wpdev.csv,0.34,0.39,0.29,0.42,0.36,0.34,0.37,0.4,0.41,0.29,0.36,0.39,0.26,0.38,0.32,0.35
