,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,plato.csv,onotoa.csv,rodin-b-sharp.csv,gwanted.csv,proftp.csv,echongl.csv,xpontus.csv,unicase.csv,uclmda.csv,google-web-toolkit.csv,findbugs.csv,codesmith.csv
codesmith.csv,0.79,0.75,0.94,0.49,0.52,0.59,0.73,0.39,0.87,0.47,0.0,0.57,0.21,0.5,0.57,0.97
echongl.csv,0.47,0.75,0.5,0.38,0.74,0.68,0.7,0.68,0.67,1.0,1.0,0.74,0.1,0.59,0.68,0.62
findbugs.csv,0.53,0.7,0.56,0.34,0.45,0.34,0.27,0.32,1.0,1.0,0.0,0.11,0.06,0.29,0.93,0.58
google-web-toolkit.csv,0.16,0.33,0.62,0.66,0.17,0.26,0.24,0.46,0.1,0.11,0.0,0.34,0.04,0.99,0.18,0.17
gwanted.csv,0.63,0.3,0.19,0.15,0.5,0.46,0.49,0.93,0.03,0.28,0.0,0.44,0.08,0.4,0.43,0.19
ivatamasks.csv,0.79,0.59,0.69,0.99,0.45,0.61,0.54,0.64,0.53,0.72,1.0,0.53,0.91,0.55,0.61,0.36
onotoa.csv,0.89,0.78,0.88,0.88,0.24,1.0,0.69,0.61,0.3,0.86,1.0,0.82,0.26,0.78,0.71,0.31
orc.csv,0.11,0.04,0.94,0.08,0.88,0.54,0.59,0.43,0.47,0.21,0.0,0.29,0.06,0.57,0.57,0.53
plato.csv,0.53,0.86,0.88,0.98,1.0,0.81,0.92,0.96,1.0,0.97,1.0,0.82,0.98,0.76,0.79,0.97
proftp.csv,0.74,0.48,0.56,0.5,0.43,0.31,0.28,0.46,0.93,0.34,0.0,0.58,0.42,0.38,0.43,0.27
rodin-b-sharp.csv,0.0,0.45,0.38,0.17,0.14,0.22,0.97,0.18,0.03,0.7,0.0,0.1,0.0,0.14,0.18,0.25
uclmda.csv,0.58,0.27,0.38,0.1,0.29,0.45,0.23,0.14,0.7,0.17,0.0,0.31,1.0,0.3,0.36,0.5
umber.csv,1.0,0.51,0.5,0.68,0.31,0.31,0.5,0.25,0.63,0.97,0.0,0.26,0.39,0.47,0.46,0.47
unicase.csv,0.89,0.88,0.81,0.67,0.67,0.58,0.5,0.68,0.47,0.56,1.0,0.99,0.21,0.67,0.79,0.45
wpdev.csv,1.0,1.0,1.0,0.99,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0
