,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.24,0.0,0.0,0.31,0.33,0.0,0.81,0.11,0.5,0.16,0.14,0.45
dvt.csv,0.81,0.55,0.01,0.69,0.43,0.06,0.76,0.67,0.87,0.33,0.14,0.18
flylinkdc.csv,0.68,0.93,0.86,0.93,0.48,0.56,0.71,0.72,0.15,0.98,0.92,0.91
fulguro.csv,0.19,0.55,0.47,0.43,0.48,0.46,0.52,0.33,0.06,0.4,0.67,0.55
fw4spl.csv,0.49,0.34,0.29,0.31,0.24,0.58,0.43,0.61,0.1,0.23,0.19,0.45
ipfire-wall.csv,0.38,0.66,0.38,0.14,0.05,0.19,0.14,0.83,0.0,0.38,0.19,0.45
jruby.csv,1.0,1.0,1.0,0.29,0.0,0.27,0.0,0.0,0.71,0.75,0.97,0.0
ldview.csv,0.86,0.39,0.34,0.17,0.71,0.23,0.0,0.83,0.72,0.15,0.94,0.36
nuttx.csv,0.59,0.15,0.66,0.1,0.62,0.44,0.43,0.39,0.66,0.24,0.44,0.09
oorexx.csv,0.76,0.04,0.04,0.14,0.71,0.52,0.0,0.56,0.79,0.13,0.69,0.64
uclmda.csv,0.24,0.0,0.16,0.14,0.33,0.21,0.29,0.17,0.99,0.01,0.0,0.09
vdsf.csv,0.57,0.35,0.64,0.62,0.62,0.17,0.38,1.0,0.31,0.86,0.83,0.73
