,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,salasaga.csv
ikvm.csv,0.63,0.23,0.61,0.43,0.45,0.99
mcmc-jags.csv,0.3,0.63,0.87,0.29,0.59,0.25
olap-navigator.csv,0.04,0.3,0.47,0.19,0.31,0.34
pidgin.csv,0.11,0.47,0.31,0.07,0.31,0.68
salasaga.csv,0.59,0.63,0.81,0.33,0.36,0.26
sepgsql.csv,0.04,0.37,0.32,0.07,0.23,0.27
