,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,salasaga.csv
ikvm.csv,0.6,0.73,0.02,0.18,0.68,0.14
mcmc-jags.csv,0.76,0.37,0.05,0.45,0.76,0.27
olap-navigator.csv,0.98,0.47,0.08,0.5,0.83,0.21
pidgin.csv,0.92,0.44,0.08,0.62,0.86,0.19
salasaga.csv,0.58,0.47,0.04,0.3,0.81,0.34
sepgsql.csv,0.97,0.45,0.11,0.57,0.87,0.25
