,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.0,0.91,0.83,0.75,0.61,0.57,0.86,0.97,0.96,0.72
ibatisdb.csv,0.83,0.0,0.9,0.89,0.92,0.95,0.92,0.47,0.85,0.8
jmol.csv,0.82,0.37,0.63,0.37,0.5,0.37,0.51,0.55,0.57,0.44
liferea.csv,0.83,0.7,0.87,0.77,0.58,0.5,0.9,0.59,0.69,0.78
log4net.csv,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0
pclasses.csv,0.91,0.8,0.93,0.0,0.75,0.79,0.73,0.67,0.98,0.82
psrchive.csv,0.5,0.0,0.92,0.0,0.94,0.76,0.75,0.9,0.9,0.88
re2c.csv,0.92,0.83,0.88,0.86,0.98,0.96,0.68,0.98,0.94,0.95
tycho.csv,0.9,0.91,0.93,0.67,0.96,0.81,0.54,0.94,0.9,0.54
xfce.csv,0.67,0.38,0.43,0.32,0.44,0.38,0.57,0.46,0.47,0.43
