,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.09,0.83,0.29,0.15,0.0,0.38,0.11,0.14,0.87,0.44
ibatisdb.csv,0.09,0.0,0.14,0.15,0.33,0.17,0.14,0.55,0.23,0.97
jmol.csv,0.36,0.5,0.5,0.92,0.67,0.98,0.69,0.41,0.6,0.33
liferea.csv,0.0,0.17,0.43,1.0,0.0,0.43,0.17,0.36,0.33,0.14
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pclasses.csv,1.0,0.17,0.0,0.0,0.33,0.31,0.49,0.01,0.23,0.39
psrchive.csv,0.09,0.0,0.86,0.0,0.0,0.28,0.09,0.05,0.17,0.03
re2c.csv,0.09,1.0,0.5,0.08,0.67,0.2,0.4,0.12,0.3,0.0
tycho.csv,0.18,0.5,0.29,0.23,0.67,0.26,1.0,0.06,0.33,0.58
xfce.csv,0.27,0.67,0.86,0.92,0.33,0.71,0.31,0.97,0.7,0.86
