,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.11,0.84,0.34,0.18,0.0,0.41,0.13,0.17,0.89,0.44
ibatisdb.csv,0.11,0.0,0.17,0.18,0.37,0.2,0.17,0.57,0.27,0.98
jmol.csv,0.4,0.47,0.52,0.47,0.66,0.98,0.63,0.45,0.6,0.36
liferea.csv,0.0,0.2,0.48,1.0,0.0,0.47,0.2,0.41,0.38,0.17
log4net.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
pclasses.csv,1.0,0.2,0.0,0.0,0.34,0.35,0.48,0.01,0.27,0.41
psrchive.csv,0.11,0.0,0.88,0.0,0.0,0.32,0.11,0.06,0.2,0.04
re2c.csv,0.11,1.0,0.55,0.1,0.67,0.23,0.43,0.14,0.34,0.0
tycho.csv,0.21,0.54,0.33,0.27,0.7,0.3,1.0,0.07,0.38,0.48
xfce.csv,0.31,0.53,0.67,0.79,0.34,0.63,0.35,0.97,0.64,0.74
