,pci_20
exist.csv,0.96
proftp.csv,0.5
rtrt-on-gpu.csv,0.5
matrex.csv,0.4
amateur-scrolls.csv,0.67
ossbuild.csv,0.75
st-filteredstatistics.csv,0.89
pokenetonline.csv,0.57
java-gnome.csv,0.8
unflobtactical.csv,0.67
archive-crawler.csv,0.58
freedom-erp.csv,0.75
miranda-icq.csv,0.7
silvertree.csv,0.89
projectfactory.csv,0.91
autat.csv,0.91
quarkplusplus.csv,0.45
stemkit.csv,0.5
foursquared.csv,0.71
jasperreports.csv,0.7
m-a-d-n-e-s-s.csv,0.54
roolo.csv,0.67
frogatto.csv,0.88
mimosa.csv,0.6
amygdala.csv,0.86
irrlicht.csv,0.59
lcfizvtop.csv,0.75
grisbi.csv,0.89
elynx.csv,0.9
alpine.csv,0.92
mumble.csv,0.65
t-2.csv,0.98
jaolt.csv,0.92
libmesh.csv,0.5
all-plasm.csv,0.43
acdk.csv,0.45
bwapi.csv,0.88
modellus.csv,0.76
micomt.csv,0.8
mp-rechnungs-und-kundenverwaltung.csv,0.68
tcvp.csv,0.0
xstore.csv,0.75
bdbbasic.csv,0.56
tart.csv,0.56
echongl.csv,0.51
snakeyaml.csv,0.95
wheat.csv,0.0
dspace-gsoc.csv,0.67
yarp.csv,0.67
boost.csv,0.97
qse.csv,0.82
quarkplayer.csv,0.75
open-data-kit.csv,0.75
yafdotnet.csv,0.97
impala.csv,0.82
avisynth2.csv,0.5
xreal.csv,0.59
tycho.csv,0.5
nabu-library.csv,0.8
freewrl.csv,0.5
roller.csv,0.59
zabbix.csv,0.95
turbotrader-bos.csv,0.77
xpontus.csv,0.6
cascading.csv,0.9
omseek.csv,0.97
kindb.csv,0.55
panda3d.csv,0.69
gusanos.csv,0.92
truevision.csv,0.91
