,pf
exist.csv,0.04
proftp.csv,0.14
rtrt-on-gpu.csv,0.02
matrex.csv,0.41
amateur-scrolls.csv,0.04
ossbuild.csv,0.17
st-filteredstatistics.csv,0.0
pokenetonline.csv,0.08
java-gnome.csv,0.06
unflobtactical.csv,0.08
archive-crawler.csv,0.33
freedom-erp.csv,0.26
miranda-icq.csv,0.19
silvertree.csv,0.09
projectfactory.csv,0.12
autat.csv,0.07
quarkplusplus.csv,0.12
stemkit.csv,0.03
foursquared.csv,0.15
jasperreports.csv,0.13
m-a-d-n-e-s-s.csv,0.18
roolo.csv,0.05
frogatto.csv,0.0
mimosa.csv,0.26
amygdala.csv,0.09
irrlicht.csv,0.16
lcfizvtop.csv,0.06
grisbi.csv,0.0
elynx.csv,0.17
alpine.csv,0.13
mumble.csv,0.11
t-2.csv,0.08
jaolt.csv,0.07
libmesh.csv,0.02
all-plasm.csv,0.33
acdk.csv,0.11
bwapi.csv,0.03
modellus.csv,0.07
micomt.csv,0.03
mp-rechnungs-und-kundenverwaltung.csv,0.17
tcvp.csv,0.0
xstore.csv,0.05
bdbbasic.csv,0.16
tart.csv,0.26
echongl.csv,0.16
snakeyaml.csv,0.06
wheat.csv,0.0
dspace-gsoc.csv,0.11
yarp.csv,0.03
boost.csv,0.06
qse.csv,0.0
quarkplayer.csv,0.17
open-data-kit.csv,0.07
yafdotnet.csv,0.07
impala.csv,0.22
avisynth2.csv,0.32
xreal.csv,0.23
tycho.csv,0.0
nabu-library.csv,0.01
freewrl.csv,0.29
roller.csv,0.2
zabbix.csv,0.03
turbotrader-bos.csv,0.1
xpontus.csv,0.25
cascading.csv,0.03
omseek.csv,0.07
kindb.csv,0.0
panda3d.csv,0.17
gusanos.csv,0.1
truevision.csv,0.03
