,recall
exist.csv,0.19
proftp.csv,0.43
rtrt-on-gpu.csv,0.1
matrex.csv,0.75
amateur-scrolls.csv,0.05
ossbuild.csv,0.09
st-filteredstatistics.csv,0.23
pokenetonline.csv,0.32
java-gnome.csv,0.07
unflobtactical.csv,0.29
archive-crawler.csv,0.35
freedom-erp.csv,0.23
miranda-icq.csv,0.31
silvertree.csv,0.24
projectfactory.csv,0.15
autat.csv,0.38
quarkplusplus.csv,0.29
stemkit.csv,0.0
foursquared.csv,0.42
jasperreports.csv,0.81
m-a-d-n-e-s-s.csv,0.6
roolo.csv,0.05
frogatto.csv,0.22
mimosa.csv,0.63
amygdala.csv,0.11
irrlicht.csv,0.25
lcfizvtop.csv,0.09
grisbi.csv,0.14
elynx.csv,0.0
alpine.csv,0.42
mumble.csv,0.52
t-2.csv,0.06
jaolt.csv,0.14
libmesh.csv,0.04
all-plasm.csv,0.62
acdk.csv,0.61
bwapi.csv,0.06
modellus.csv,0.33
micomt.csv,0.23
mp-rechnungs-und-kundenverwaltung.csv,0.36
tcvp.csv,0.0
xstore.csv,0.22
bdbbasic.csv,0.53
tart.csv,0.4
echongl.csv,0.47
snakeyaml.csv,0.3
wheat.csv,0.0
dspace-gsoc.csv,0.03
yarp.csv,0.08
boost.csv,0.15
qse.csv,0.31
quarkplayer.csv,0.09
open-data-kit.csv,0.28
yafdotnet.csv,0.23
impala.csv,0.16
avisynth2.csv,0.67
xreal.csv,0.6
tycho.csv,0.06
nabu-library.csv,0.04
freewrl.csv,0.33
roller.csv,0.39
zabbix.csv,0.28
turbotrader-bos.csv,0.35
xpontus.csv,1.0
cascading.csv,0.17
omseek.csv,0.39
kindb.csv,0.32
panda3d.csv,0.17
gusanos.csv,0.13
truevision.csv,0.24
