,d2h
exist.csv,0.81
proftp.csv,0.58
rtrt-on-gpu.csv,0.9
matrex.csv,0.48
amateur-scrolls.csv,0.95
ossbuild.csv,0.92
st-filteredstatistics.csv,0.77
pokenetonline.csv,0.69
java-gnome.csv,0.93
unflobtactical.csv,0.72
archive-crawler.csv,0.73
freedom-erp.csv,0.81
miranda-icq.csv,0.72
silvertree.csv,0.76
projectfactory.csv,0.85
autat.csv,0.63
quarkplusplus.csv,0.72
stemkit.csv,1.0
foursquared.csv,0.6
jasperreports.csv,0.23
m-a-d-n-e-s-s.csv,0.44
roolo.csv,0.95
frogatto.csv,0.78
mimosa.csv,0.45
amygdala.csv,0.9
irrlicht.csv,0.77
lcfizvtop.csv,0.91
grisbi.csv,0.86
elynx.csv,1.01
alpine.csv,0.6
mumble.csv,0.49
t-2.csv,0.94
jaolt.csv,0.87
libmesh.csv,0.96
all-plasm.csv,0.51
acdk.csv,0.4
bwapi.csv,0.94
modellus.csv,0.68
micomt.csv,0.77
mp-rechnungs-und-kundenverwaltung.csv,0.66
tcvp.csv,1.0
xstore.csv,0.78
bdbbasic.csv,0.5
tart.csv,0.65
echongl.csv,0.55
snakeyaml.csv,0.71
wheat.csv,1.0
dspace-gsoc.csv,0.98
yarp.csv,0.92
boost.csv,0.85
qse.csv,0.69
quarkplayer.csv,0.93
open-data-kit.csv,0.73
yafdotnet.csv,0.77
impala.csv,0.87
avisynth2.csv,0.46
xreal.csv,0.46
tycho.csv,0.94
nabu-library.csv,0.96
freewrl.csv,0.73
roller.csv,0.64
zabbix.csv,0.72
turbotrader-bos.csv,0.66
xpontus.csv,0.25
cascading.csv,0.83
omseek.csv,0.61
kindb.csv,0.68
panda3d.csv,0.85
gusanos.csv,0.87
truevision.csv,0.76
