,f1
exist.csv,0.31
proftp.csv,0.54
rtrt-on-gpu.csv,0.17
matrex.csv,0.69
amateur-scrolls.csv,0.09
ossbuild.csv,0.08
st-filteredstatistics.csv,0.38
pokenetonline.csv,0.47
java-gnome.csv,0.13
unflobtactical.csv,0.43
archive-crawler.csv,0.33
freedom-erp.csv,0.32
miranda-icq.csv,0.33
silvertree.csv,0.35
projectfactory.csv,0.24
autat.csv,0.44
quarkplusplus.csv,0.4
stemkit.csv,0.0
foursquared.csv,0.49
jasperreports.csv,0.38
m-a-d-n-e-s-s.csv,0.59
roolo.csv,0.09
frogatto.csv,0.36
mimosa.csv,0.66
amygdala.csv,0.18
irrlicht.csv,0.38
lcfizvtop.csv,0.13
grisbi.csv,0.24
elynx.csv,0.0
alpine.csv,0.28
mumble.csv,0.58
t-2.csv,0.07
jaolt.csv,0.24
libmesh.csv,0.07
all-plasm.csv,0.59
acdk.csv,0.65
bwapi.csv,0.11
modellus.csv,0.47
micomt.csv,0.33
mp-rechnungs-und-kundenverwaltung.csv,0.42
tcvp.csv,0.0
xstore.csv,0.34
bdbbasic.csv,0.54
tart.csv,0.13
echongl.csv,0.62
snakeyaml.csv,0.35
wheat.csv,0.0
dspace-gsoc.csv,0.05
yarp.csv,0.14
boost.csv,0.24
qse.csv,0.48
quarkplayer.csv,0.05
open-data-kit.csv,0.42
yafdotnet.csv,0.35
impala.csv,0.12
avisynth2.csv,0.16
xreal.csv,0.12
tycho.csv,0.11
nabu-library.csv,0.08
freewrl.csv,0.42
roller.csv,0.51
zabbix.csv,0.42
turbotrader-bos.csv,0.45
xpontus.csv,0.06
cascading.csv,0.29
omseek.csv,0.39
kindb.csv,0.49
panda3d.csv,0.22
gusanos.csv,0.23
truevision.csv,0.37
