,paintown.csv,google-collections.csv,smbopensoft.csv,forester-atv.csv,thout.csv,jsecurity.csv,cleartk.csv,opensim4opencog.csv
cleartk.csv,0.05,0.54,0.17,0.35,0.47,0.66,0.97,0.36
forester-atv.csv,0.23,0.0,0.6,0.96,0.06,0.04,0.04,0.16
google-collections.csv,0.0,1.0,0.0,0.0,0.13,0.0,0.0,0.0
jsecurity.csv,0.29,0.24,0.16,0.45,0.19,0.89,0.4,0.29
opensim4opencog.csv,0.04,0.34,0.57,0.6,0.21,0.26,0.48,0.93
paintown.csv,0.98,0.43,0.51,0.53,0.68,0.52,0.41,0.46
smbopensoft.csv,0.4,0.65,0.98,0.58,0.68,0.55,0.43,0.52
thout.csv,0.39,0.0,0.15,0.55,0.91,0.37,0.54,0.46
