,paintown.csv,google-collections.csv,smbopensoft.csv,forester-atv.csv,thout.csv,jsecurity.csv,cleartk.csv,opensim4opencog.csv
cleartk.csv,0.64,0.7,0.65,0.38,0.34,0.36,0.99,0.17
forester-atv.csv,0.31,0.0,0.59,0.96,0.09,0.05,0.06,0.12
google-collections.csv,0.65,1.0,0.66,0.57,0.38,0.32,0.94,0.22
jsecurity.csv,0.31,0.33,0.23,0.43,0.2,0.93,0.51,0.12
opensim4opencog.csv,0.06,0.49,0.68,0.58,0.19,0.15,0.78,0.95
paintown.csv,0.99,0.55,0.57,0.46,0.5,0.32,0.55,0.23
smbopensoft.csv,0.42,0.83,0.98,0.52,0.5,0.33,0.55,0.19
thout.csv,0.38,0.63,0.21,0.49,0.94,0.31,0.69,0.17
