,lazarus-ccr.csv,plee-the-bear.csv,badtrinity-zero.csv,fw4spl.csv,mia.csv,kftpgrabber.csv,kolmafia.csv
badtrinity-zero.csv,0.0,0.71,0.0,0.35,0.61,0.53,0.18
fw4spl.csv,0.18,0.56,0.48,0.01,0.29,0.52,0.36
kftpgrabber.csv,0.36,0.16,0.15,0.11,0.15,0.0,0.36
kolmafia.csv,0.54,0.79,0.5,0.48,0.88,0.37,0.0
lazarus-ccr.csv,0.04,0.86,0.24,0.43,0.84,0.53,0.38
mia.csv,0.86,0.12,0.16,0.04,0.0,0.11,0.31
plee-the-bear.csv,0.0,0.0,0.45,0.11,0.0,0.13,0.77
