,lazarus-ccr.csv,plee-the-bear.csv,badtrinity-zero.csv,fw4spl.csv,mia.csv,kftpgrabber.csv,kolmafia.csv
badtrinity-zero.csv,0.59,0.13,0.99,0.26,0.22,0.52,0.56
fw4spl.csv,0.29,0.12,0.37,0.94,0.25,0.41,0.12
kftpgrabber.csv,0.38,0.28,0.5,0.29,0.31,0.98,0.7
kolmafia.csv,0.56,0.13,0.57,0.28,0.17,0.57,1.0
lazarus-ccr.csv,0.98,0.06,0.36,0.15,0.11,0.38,0.61
mia.csv,0.37,0.29,0.3,0.15,1.0,0.46,0.31
plee-the-bear.csv,0.0,0.86,0.35,0.15,0.11,0.15,0.36
