,lazarus-ccr.csv,plee-the-bear.csv,badtrinity-zero.csv,fw4spl.csv,mia.csv,kftpgrabber.csv,kolmafia.csv
badtrinity-zero.csv,1.0,0.07,1.0,0.17,0.13,0.4,0.75
fw4spl.csv,0.5,0.07,0.41,0.96,0.16,0.33,0.22
kftpgrabber.csv,0.44,0.18,0.71,0.28,0.24,1.0,0.7
kolmafia.csv,0.5,0.07,0.54,0.18,0.09,0.48,1.0
lazarus-ccr.csv,0.96,0.03,0.52,0.1,0.06,0.31,0.64
mia.csv,0.31,0.21,0.55,0.29,1.0,0.61,0.48
plee-the-bear.csv,0.0,1.0,0.4,0.16,1.0,0.27,0.36
