,pclasses.csv,re2c.csv,psrchive.csv,liferea.csv,log4net.csv,jmol.csv,tycho.csv,xfce.csv,adobe-source.csv,ibatisdb.csv
adobe-source.csv,0.23,0.27,0.12,0.0,0.74,0.0,0.39,0.34,0.14,0.7
ibatisdb.csv,0.11,0.43,0.24,0.59,0.18,0.13,0.5,0.31,0.37,0.21
jmol.csv,0.57,1.0,0.72,0.5,0.99,0.35,0.39,0.95,0.89,0.88
liferea.csv,0.54,0.37,0.49,0.27,0.31,0.48,0.18,0.35,0.27,0.12
log4net.csv,0.02,0.0,0.43,0.55,0.12,0.22,0.32,0.22,0.22,0.21
pclasses.csv,0.18,0.14,0.04,0.05,0.36,0.22,0.36,0.01,0.45,0.47
psrchive.csv,0.23,0.12,0.25,0.59,0.18,0.17,0.21,0.69,0.31,0.34
re2c.csv,0.2,0.02,0.55,0.39,0.44,0.26,0.93,0.32,0.52,0.73
tycho.csv,0.2,0.1,0.29,0.27,0.27,0.48,0.21,0.14,0.27,0.87
xfce.csv,0.39,0.57,0.64,0.43,0.47,0.7,0.39,0.4,0.64,0.42
