,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv,oorexx.csv
maidsafe-dht.csv,0.53,0.41,0.31,0.26,0.68
n2cms.csv,0.69,0.28,0.23,0.26,0.61
nassp.csv,0.43,0.25,0.31,0.45,0.77
nug.csv,0.42,0.06,0.65,0.18,0.61
oorexx.csv,0.31,0.31,0.25,0.36,0.75
