,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.55,0.62,0.0,0.6,0.83,0.57,0.96,0.95,0.88,0.53
fulguro.csv,0.38,0.95,0.73,0.91,0.42,0.5,0.66,0.0,0.39,0.53
fw4spl.csv,0.75,0.65,0.67,0.63,0.56,0.93,0.67,0.8,0.67,0.53
google-web-toolkit.csv,0.36,0.7,0.79,0.52,0.58,0.67,0.54,0.51,0.55,0.53
jstock.csv,0.49,0.72,0.75,0.46,0.93,0.5,0.52,0.56,0.55,0.48
ldview.csv,0.4,0.48,0.68,0.53,0.35,0.5,0.39,0.46,0.38,0.42
nuttx.csv,0.94,0.98,0.75,0.8,0.71,0.5,0.69,0.7,0.67,0.94
utgb.csv,0.89,0.58,0.67,0.82,0.52,0.78,0.49,0.89,0.86,0.57
vdsf.csv,0.44,0.99,0.67,0.65,0.39,0.64,0.78,0.51,0.38,0.51
xbrlapi.csv,0.47,0.0,0.67,0.84,0.5,0.67,0.71,0.77,0.48,0.58
