,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.36,0.51,0.01,0.71,0.2,0.39,0.1,0.21,0.0,0.2
fulguro.csv,0.36,0.04,0.44,0.09,0.33,0.12,0.49,0.0,0.68,0.72
fw4spl.csv,0.3,0.39,0.37,0.39,0.63,0.22,0.59,0.33,0.35,0.46
google-web-toolkit.csv,0.2,0.49,0.29,0.3,0.38,0.38,0.48,0.67,0.63,0.61
jstock.csv,0.51,0.5,0.3,0.33,0.3,0.42,0.6,0.46,0.89,0.52
ldview.csv,0.53,0.62,0.46,0.43,0.54,0.71,0.55,0.57,0.78,0.61
nuttx.csv,0.2,0.1,0.65,0.12,0.3,0.58,0.42,0.29,0.42,0.11
utgb.csv,0.06,0.44,0.3,0.33,0.72,0.17,0.67,0.26,0.18,0.39
vdsf.csv,0.62,0.41,0.19,0.54,0.24,0.59,0.26,0.47,0.28,0.64
xbrlapi.csv,0.76,0.0,0.01,0.29,0.54,0.06,0.27,0.43,0.57,0.66
