,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,7.0,11.0,0.0,0.0,0.0,0.0,4.0,1.0,55.0,0.0
fulguro.csv,0.0,2.0,0.0,0.0,2.0,0.0,22.0,353.0,3.0,3.0
fw4spl.csv,0.0,48.0,0.0,0.0,1.0,4.0,5.0,0.0,3.0,11.0
google-web-toolkit.csv,0.0,2.0,0.0,0.0,1.0,1.0,6.0,2.0,4.0,1.0
jstock.csv,2.0,66.0,0.0,1.0,0.0,2.0,11.0,4.0,0.0,2.0
ldview.csv,0.0,5.0,0.0,20.0,1.0,0.0,37.0,0.0,0.0,3.0
nuttx.csv,0.0,6.0,0.0,3.0,0.0,0.0,3.0,8.0,2.0,9.0
utgb.csv,0.0,50.0,0.0,0.0,1.0,0.0,11.0,0.0,2.0,10.0
vdsf.csv,0.0,5.0,0.0,21.0,2.0,0.0,55.0,3.0,5.0,1.0
xbrlapi.csv,0.0,1261.0,1.0,33.0,2.0,2.0,4.0,3.0,4.0,1.0
