,xbrlapi.csv,vdsf.csv,nuttx.csv,dvt.csv,utgb.csv,ldview.csv,fw4spl.csv,google-web-toolkit.csv,jstock.csv,fulguro.csv
dvt.csv,0.33,0.47,0.01,0.71,0.17,0.38,0.08,0.18,0.0,0.18
fulguro.csv,0.98,0.03,0.43,0.07,0.77,0.1,0.46,0.0,0.92,0.73
fw4spl.csv,0.26,0.35,0.33,0.36,0.63,0.19,0.56,0.29,0.31,0.45
google-web-toolkit.csv,0.9,0.45,0.26,0.26,0.37,0.33,0.44,0.67,0.62,0.64
jstock.csv,0.55,0.46,0.26,0.29,0.26,0.38,0.58,0.43,0.92,0.64
ldview.csv,0.55,0.61,0.49,0.52,0.74,0.71,0.92,0.63,0.92,0.82
nuttx.csv,0.17,0.08,0.68,0.1,0.26,0.57,0.38,0.25,0.38,0.09
utgb.csv,0.05,0.4,0.26,0.29,0.71,0.14,0.69,0.22,0.15,0.36
vdsf.csv,0.88,0.36,0.67,0.81,0.94,0.67,0.23,0.71,0.62,0.82
xbrlapi.csv,0.79,0.0,0.01,0.26,0.66,0.05,0.23,0.4,0.62,0.64
